,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
1,2021-10-26,AP,Ananthapur,,,,157811,1093,156667,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
2,2021-10-26,AP,Chittoor,,,,246552,1942,243715,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
3,2021-10-26,AP,East Godavari,,,,293326,1290,291239,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
4,2021-10-26,AP,Guntur,,,,177877,1235,176175,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
5,2021-10-26,AP,Y.S.R. Kadapa,,,,115560,644,114797,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
6,2021-10-26,AP,Krishna,,,,119070,1425,116870,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
7,2021-10-26,AP,Kurnool,,,,124123,853,123243,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
8,2021-10-26,AP,S.P.S. Nellore,,,,146269,1051,144772,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
9,2021-10-26,AP,Prakasam,,,,138416,1123,136792,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
10,2021-10-26,AP,Srikakulam,,,,123014,786,122068,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
11,2021-10-26,AP,Visakhapatnam,,,,157558,1127,156338,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
12,2021-10-26,AP,Vizianagaram,,,,82917,671,82200,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
13,2021-10-26,AP,West Godavari,,,,178899,1116,177505,,,,,15781124655229332617787711556011907012412314626913841612301415755882917178899,109319421290123564414258531051112378611276711116,15666724371529123917617511479711687012324314477213679212206815633882200177505,
