,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinatedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaVaccinatedForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaVaccinatedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaVaccinatedForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,statePopulation,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2021-10-26,OD,,,,,,,,,Angul,,,,,,,,,,,,,43910,391,43490,,,,,,,1039269,8316,1026774,,
1,2021-10-26,OD,,,,,,,,,Balasore,,,,,,,,,,,,,40743,293,40327,,,,,,,1039269,8316,1026774,,
2,2021-10-26,OD,,,,,,,,,Bargarh,,,,,,,,,,,,,31114,335,30751,,,,,,,1039269,8316,1026774,,
3,2021-10-26,OD,,,,,,,,,Bhadrak,,,,,,,,,,,,,26454,146,26231,,,,,,,1039269,8316,1026774,,
4,2021-10-26,OD,,,,,,,,,Bolangir,,,,,,,,,,,,,23394,126,23251,,,,,,,1039269,8316,1026774,,
5,2021-10-26,OD,,,,,,,,,Boudh,,,,,,,,,,,,,12634,112,12488,,,,,,,1039269,8316,1026774,,
6,2021-10-26,OD,,,,,,,,,Cuttack,,,,,,,,,,,,,94430,852,93187,,,,,,,1039269,8316,1026774,,
7,2021-10-26,OD,,,,,,,,,Deogarh,,,,,,,,,,,,,6526,50,6451,,,,,,,1039269,8316,1026774,,
8,2021-10-26,OD,,,,,,,,,Dhenkanal,,,,,,,,,,,,,19850,243,19582,,,,,,,1039269,8316,1026774,,
9,2021-10-26,OD,,,,,,,,,Gajapati,,,,,,,,,,,,,9646,83,9546,,,,,,,1039269,8316,1026774,,
10,2021-10-26,OD,,,,,,,,,Ganjam,,,,,,,,,,,,,33829,477,33330,,,,,,,1039269,8316,1026774,,
11,2021-10-26,OD,,,,,,,,,Jagatsinghapur,,,,,,,,,,,,,27868,316,27451,,,,,,,1039269,8316,1026774,,
12,2021-10-26,OD,,,,,,,,,Jajpur,,,,,,,,,,,,,43679,171,43410,,,,,,,1039269,8316,1026774,,
13,2021-10-26,OD,,,,,,,,,Jharsuguda,,,,,,,,,,,,,23853,176,23665,,,,,,,1039269,8316,1026774,,
14,2021-10-26,OD,,,,,,,,,Kalahandi,,,,,,,,,,,,,24301,210,24082,,,,,,,1039269,8316,1026774,,
15,2021-10-26,OD,,,,,,,,,Kandhamal,,,,,,,,,,,,,11537,83,11450,,,,,,,1039269,8316,1026774,,
16,2021-10-26,OD,,,,,,,,,Kendrapara,,,,,,,,,,,,,24812,250,24516,,,,,,,1039269,8316,1026774,,
17,2021-10-26,OD,,,,,,,,,Kendujhar,,,,,,,,,,,,,20977,172,20796,,,,,,,1039269,8316,1026774,,
18,2021-10-26,OD,,,,,,,,,Khordha,,,,,,,,,,,,,174261,1535,170707,,,,,,,1039269,8316,1026774,,
19,2021-10-26,OD,,,,,,,,,Koraput,,,,,,,,,,,,,19127,78,19028,,,,,,,1039269,8316,1026774,,
20,2021-10-26,OD,,,,,,,,,Malkangiri,,,,,,,,,,,,,11665,46,11610,,,,,,,1039269,8316,1026774,,
21,2021-10-26,OD,,,,,,,,,Mayurbhanj,,,,,,,,,,,,,40753,281,40354,,,,,,,1039269,8316,1026774,,
22,2021-10-26,OD,,,,,,,,,Nabarangpur,,,,,,,,,,,,,23549,84,23459,,,,,,,1039269,8316,1026774,,
23,2021-10-26,OD,,,,,,,,,Nayagarh,,,,,,,,,,,,,23487,209,23242,,,,,,,1039269,8316,1026774,,
24,2021-10-26,OD,,,,,,,,,Nuapada,,,,,,,,,,,,,22900,84,22798,,,,,,,1039269,8316,1026774,,
25,2021-10-26,OD,,,,,,,,,Puri,,,,,,,,,,,,,45379,455,44854,,,,,,,1039269,8316,1026774,,
26,2021-10-26,OD,,,,,,,,,Rayagada,,,,,,,,,,,,,20212,167,19969,,,,,,,1039269,8316,1026774,,
27,2021-10-26,OD,,,,,,,,,Sambalpur,,,,,,,,,,,,,31594,240,31231,,,,,,,1039269,8316,1026774,,
28,2021-10-26,OD,,,,,,,,,Subarnapur,,,,,,,,,,,,,13184,61,13114,,,,,,,1039269,8316,1026774,,
29,2021-10-26,OD,,,,,,,,,Sundargarh,,,,,,,,,,,,,61797,590,61110,,,,,,,1039269,8316,1026774,,
30,2021-10-26,OD,,,,,,,,,Tstate Pool,,,,,,,,,,,,,31804,0,31294,,,,,,,1039269,8316,1026774,,
