Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-10-26,OR,Angul,,,,43912,392,43490,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Balasore,,,,40755,293,40327,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Bargarh,,,,31116,335,30751,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Bhadrak,,,,26458,146,26231,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Balangir,,,,23395,126,23251,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Boudh,,,,12634,112,12488,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Cuttack,,,,94480,852,93187,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Deogarh,,,,6534,50,6451,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Dhenkanal,,,,19856,243,19582,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Gajapati,,,,9646,83,9546,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Ganjam,,,,33829,477,33330,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Jagatsinghpur,,,,27877,316,27451,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Jajpur,,,,43692,171,43410,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Jharsuguda,,,,23855,176,23665,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Kalahandi,,,,24305,210,24082,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Kandhamal,,,,11537,83,11450,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Kendrapara,,,,24819,250,24516,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Kendujhar,,,,20977,173,20796,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Khordha,,,,174557,1535,170707,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Koraput,,,,19130,78,19028,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Malkangiri,,,,11665,46,11610,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Mayurbhanj,,,,40766,281,40354,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Nabarangapur,,,,23549,84,23459,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Nayagarh,,,,23497,209,23242,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Nuapada,,,,22906,84,22798,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Puri,,,,45388,455,44854,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Rayagada,,,,20213,167,19969,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Sambalpur,,,,31610,240,31231,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Subarnapur,,,,13185,61,13114,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
2021-10-26,OR,Sundargarh,,,,61804,590,61110,,2021-12-08 10:34:48.875545,2021-12-08 10:34:48.876331,,,1039818,8318,1026774,21647068
