Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Ahmedabad,0,0,1,4777,6868,24901,0,0,0,0,0,0,0,7208200,2021-12-08 10:34:49.014595,,,238320,3411,234882,5282830,5939098,3350216,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,9289314.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Amreli,0,0,0,746,960,5489,0,0,0,0,0,0,0,1513614,2021-12-08 10:34:49.014595,,,10810,102,10708,590262,924467,527840,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1452307.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Anand,3,0,0,1703,2793,2831,0,0,0,0,0,0,0,2090276,2021-12-08 10:34:49.014595,,,9634,49,9580,533652,1444966,903079,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,2348045.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Aravalli,0,0,0,939,134,2587,0,0,0,0,0,0,0,1051746,2021-12-08 10:34:49.014595,,,5186,78,5108,359870,717367,503971,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1221338.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Banaskantha,0,0,0,1954,2362,5706,0,0,0,0,0,0,0,3116045,2021-12-08 10:34:49.014595,,,13631,162,13469,831954,2134458,1107026,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,3241484.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Bharuch,0,0,0,985,3215,5533,0,0,0,0,0,0,0,1550822,2021-12-08 10:34:49.014595,,,11426,118,11308,509500,1205628,641866,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1847494.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Bhavnagar,0,0,0,2156,2528,9541,0,0,0,0,0,0,0,2877961,2021-12-08 10:34:49.014595,,,21446,301,21143,1187078,1670856,937704,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,2608560.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Botad,0,0,0,358,142,1376,0,0,0,0,0,0,0,656005,2021-12-08 10:34:49.014595,,,2218,42,2176,252823,377755,220660,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,598415.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Chhota Udaipur,0,0,0,1066,69,819,0,0,0,0,0,0,0,1071831,2021-12-08 10:34:49.014595,,,3395,38,3357,264284,635294,406272,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1041566.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Dahod,0,0,0,881,91,1005,0,0,0,0,0,0,0,2126558,2021-12-08 10:34:49.014595,,,9955,38,9917,697116,1498772,588238,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,2087010.0,0
