Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-10-28,GJ,Ahmedabad,2021-12-08 10:34:49.284401,,,238324,3411,234883,5287939,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Amreli,2021-12-08 10:34:49.284401,,,10810,102,10708,591266,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Anand,2021-12-08 10:34:49.284401,,,9635,49,9580,535338,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Aravalli,2021-12-08 10:34:49.284401,,,5186,78,5108,359957,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Banaskantha,2021-12-08 10:34:49.284401,,,13631,162,13469,836304,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Bharuch,2021-12-08 10:34:49.284401,,,11426,118,11308,510476,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Bhavnagar,2021-12-08 10:34:49.284401,,,21446,301,21143,1187465,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Botad,2021-12-08 10:34:49.284401,,,2218,42,2176,253172,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Chhota Udaipur,2021-12-08 10:34:49.284401,,,3395,38,3357,264284,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Dahod,2021-12-08 10:34:49.284401,,,9955,38,9917,698827,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Dang,2021-12-08 10:34:49.284401,,,866,18,848,82974,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Devbhumi Dwarka,2021-12-08 10:34:49.284401,,,4175,82,4093,238351,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Gandhinagar,2021-12-08 10:34:49.284401,,,20754,205,20549,826830,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Gir Somnath,2021-12-08 10:34:49.284401,,,8570,67,8499,376393,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Jamnagar,2021-12-08 10:34:49.284401,,,34973,478,34492,878966,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Junagadh,2021-12-08 10:34:49.284401,,,20500,272,20226,806113,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Kutch,2021-12-08 10:34:49.284401,,,12628,145,12473,821908,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Kheda,2021-12-08 10:34:49.284401,,,10439,48,10391,628441,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Mahisagar,2021-12-08 10:34:49.284401,,,8194,72,8122,383248,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Mehsana,2021-12-08 10:34:49.284401,,,24419,177,24242,682623,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Morbi,2021-12-08 10:34:49.284401,,,6502,87,6415,373863,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Narmada,2021-12-08 10:34:49.284401,,,5955,15,5940,272631,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Navsari,2021-12-08 10:34:49.284401,,,7214,24,7174,440459,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Panchmahal,2021-12-08 10:34:49.284401,,,11770,70,11700,552930,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Patan,2021-12-08 10:34:49.284401,,,11624,129,11495,465650,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Porbandar,2021-12-08 10:34:49.284401,,,3486,19,3467,245317,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Rajkot,2021-12-08 10:34:49.284401,,,57974,725,57236,2060076,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Sabarkantha,2021-12-08 10:34:49.284401,,,9317,157,9159,489690,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Surat,2021-12-08 10:34:49.284401,,,143859,1955,141875,6431870,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Surendranagar,2021-12-08 10:34:49.284401,,,8121,136,7985,522177,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Tapi,2021-12-08 10:34:49.284401,,,4441,24,4417,250791,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Vadodara,2021-12-08 10:34:49.284401,,,78141,788,77331,1932660,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
2021-10-28,GJ,Valsad,2021-12-08 10:34:49.284401,,,6394,53,6295,503225,2021-12-08 10:34:49.283691,2021-12-08 10:34:49.284729,,,826342,10085,816073,30792214
