Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-28,KA,Bagalkote,35178,333,34843,49851.0,1171347,610628,1781975,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Ballari,97760,1689,95952,402407.0,1738359,845638,2583997,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Belagavi,79884,938,78868,396565.0,3148064,1352826,4500890,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Bengaluru Rural,61994,890,61063,240277.0,699687,379134,1078821,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Bengaluru Urban,1251390,16266,1228630,6883888.0,9204530,5824561,15029091,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Bidar,24340,400,23933,67689.0,925830,509270,1435100,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Chamarajanagara,33000,500,32461,5156.0,647488,345161,992649,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Chikkaballapura,43945,426,43500,15089.0,851981,496133,1348114,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Chikkamagaluru,51116,395,50647,5467.0,736569,343385,1079954,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Chitradurga,36660,206,36407,4393.0,1003715,600376,1604091,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Dakshina Kannada,115398,1678,113444,131281.0,1529505,837304,2366809,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Davanagere,50981,607,50355,17483.0,1014783,487480,1502263,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Dharwad,60969,1313,59634,137696.0,1206880,553882,1760762,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Gadag,26066,319,25747,8904.0,685015,324064,1009079,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Hassan,111718,1255,110230,10800.0,1223546,609788,1833334,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Haveri,21946,643,21300,11714.0,997778,377695,1375473,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Kalaburagi,61921,819,61085,409596.0,1311563,631478,1943041,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Kodagu,37054,329,36593,143982.0,385058,207824,592882,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Kolar,46906,638,46254,91924.0,988260,618871,1607131,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Koppal,35198,521,34657,8708.0,809418,399463,1208881,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Mandya,73728,650,73012,14874.0,1188702,655403,1844105,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Mysuru,179035,2413,176356,107338.0,2126080,1207324,3333404,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Other State,36,3,33,,,,,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Raichur,39973,331,39640,21011.0,1014098,434555,1448653,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Ramanagara,24202,320,23867,103399.0,753463,465459,1218922,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Shivamogga,69430,1088,68215,48760.0,1154642,518666,1673308,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Tumakuru,120794,1127,119374,106564.0,1659999,860542,2520541,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Udupi,76692,489,76154,86092.0,918499,524432,1442931,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Uttara Kannada,56188,766,55321,13833.0,978805,490705,1469510,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Vijayapura,36266,495,35763,25108.0,1521268,622698,2143966,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
2021-10-28,KA,Yadgir,27545,207,27335,221485.0,706993,346504,1053497,2987313,38054,2940673,50544638.0,42301925,22481249,64783174
