Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-10-29,DL,37.0,0.0,48.0,0,21460,37317,0,1439674.0,25091.0,1414253.0,,13013578.0,7364040.0,Central Delhi,,,,,0,0,0,,,,,0,0,0,,,,,,,,1177842,641918,2021-10-30 21:28:01.393615,19814000,,,,1439788,25091,1414363,,13013578,7364040,20377618.0,58777.0,20377618.0,1819760.0,0
2021-10-29,DL,,,,0,21460,37317,0,1439674.0,25091.0,1414253.0,,13013578.0,7364040.0,East Delhi,,,,,0,0,0,,,,,0,0,0,,,,,,,,999020,622683,2021-10-30 21:28:01.393615,19814000,,,,1439788,25091,1414363,,13013578,7364040,20377618.0,58777.0,20377618.0,1621703.0,0
2021-10-29,DL,,,,0,21460,37317,0,1439674.0,25091.0,1414253.0,,13013578.0,7364040.0,New Delhi,,,,,0,0,0,,,,,0,0,0,,,,,,,,894254,614219,2021-10-30 21:28:01.393615,19814000,,,,1439788,25091,1414363,,13013578,7364040,20377618.0,58777.0,20377618.0,1508473.0,0
2021-10-29,DL,,,,0,21460,37317,0,1439674.0,25091.0,1414253.0,,13013578.0,7364040.0,North Delhi,,,,,0,0,0,,,,,0,0,0,,,,,,,,1235061,556786,2021-10-30 21:28:01.393615,19814000,,,,1439788,25091,1414363,,13013578,7364040,20377618.0,58777.0,20377618.0,1791847.0,0
2021-10-29,DL,,,,0,21460,37317,0,1439674.0,25091.0,1414253.0,,13013578.0,7364040.0,North East Delhi,,,,,0,0,0,,,,,0,0,0,,,,,,,,896987,392206,2021-10-30 21:28:01.393615,19814000,,,,1439788,25091,1414363,,13013578,7364040,20377618.0,58777.0,20377618.0,1289193.0,0
2021-10-29,DL,,,,0,21460,37317,0,1439674.0,25091.0,1414253.0,,13013578.0,7364040.0,North West Delhi,,,,,0,0,0,,,,,0,0,0,,,,,,,,1590445,841777,2021-10-30 21:28:01.393615,19814000,,,,1439788,25091,1414363,,13013578,7364040,20377618.0,58777.0,20377618.0,2432222.0,0
2021-10-29,DL,,,,0,21460,37317,0,1439674.0,25091.0,1414253.0,,13013578.0,7364040.0,Shahdara,,,,,0,0,0,,,,,0,0,0,,,,,,,,886130,521718,2021-10-30 21:28:01.393615,19814000,,,,1439788,25091,1414363,,13013578,7364040,20377618.0,58777.0,20377618.0,1407848.0,0
2021-10-29,DL,,,,0,21460,37317,0,1439674.0,25091.0,1414253.0,,13013578.0,7364040.0,South Delhi,,,,,0,0,0,,,,,0,0,0,,,,,,,,1217788,732286,2021-10-30 21:28:01.393615,19814000,,,,1439788,25091,1414363,,13013578,7364040,20377618.0,58777.0,20377618.0,1950074.0,0
2021-10-29,DL,,,,0,21460,37317,0,1439674.0,25091.0,1414253.0,,13013578.0,7364040.0,South East Delhi,,,,,0,0,0,,,,,0,0,0,,,,,,,,1259309,765954,2021-10-30 21:28:01.393615,19814000,,,,1439788,25091,1414363,,13013578,7364040,20377618.0,58777.0,20377618.0,2025263.0,0
2021-10-29,DL,,,,0,21460,37317,0,1439674.0,25091.0,1414253.0,,13013578.0,7364040.0,South West Delhi,,,,,0,0,0,,,,,0,0,0,,,,,,,,1494709,858315,2021-10-30 21:28:01.393615,19814000,,,,1439788,25091,1414363,,13013578,7364040,20377618.0,58777.0,20377618.0,2353024.0,0
2021-10-29,DL,,,,0,21460,37317,0,1439674.0,25091.0,1414253.0,,13013578.0,7364040.0,West Delhi,,,,,0,0,0,,,,,0,0,0,,,,,,,,1362033,816178,2021-10-30 21:28:01.393615,19814000,,,,1439788,25091,1414363,,13013578,7364040,20377618.0,58777.0,20377618.0,2178211.0,0
2021-10-29,DL,,,,0,21460,37317,0,1439674.0,25091.0,1414253.0,,13013578.0,7364040.0,Unknown,,,,,0,0,0,,,,,0,0,0,,,,1439788.0,25091.0,1414363.0,,0,0,2021-10-30 21:28:01.393615,19814000,,,,1439788,25091,1414363,,13013578,7364040,20377618.0,58777.0,20377618.0,,0
