Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict,deltaVaccinatedForState,delta7ConfirmedForState,delta7DeceasedForState,delta7RecoveredForState,delta7VaccinatedForState,delta7TestedForState,delta7ConfirmedForDistrict,delta7DeceasedForDistrict,delta7RecoveredForDistrict,delta7VaccinatedForDistrict,delta21_14ConfirmedForState,delta21_14ConfirmedForDistrict,7DmaVaccinatedForState,7DmaVaccinatedForDistrict
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Srinagar,48,0,38,0,243,11478,0,0,0,74003,0,0,0,1269751,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,75448,846,74153,,956675,567518,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,1524193.0,377231.0,63700.0,559,3,554,425572.0,247874.0,58860,641,57792,,533,245.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Baramulla,13,0,12,0,198,3222,0,0,0,24139,0,0,0,1015503,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,24578,282,24180,,775996,443851,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,1219847.0,764367.0,63700.0,559,3,554,425572.0,247874.0,14782,180,14506,,533,55.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Budgam,11,0,8,0,212,4097,0,0,0,23502,0,0,0,735753,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,23826,207,23529,,591804,312286,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,904090.0,-312337.0,63700.0,559,3,554,425572.0,247874.0,-667,-75,-585,,533,52.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Pulwama,1,0,3,0,122,1992,0,0,0,15305,0,0,0,570060,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,15508,194,15309,,430478,240569,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,671047.0,-228734.0,63700.0,559,3,554,425572.0,247874.0,-8263,-13,-8175,,533,10.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Kupwara,0,0,3,0,102,5582,0,0,0,14247,0,0,0,875564,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,14452,166,14262,,673365,333747,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,1007112.0,540823.0,63700.0,559,3,554,425572.0,247874.0,6606,33,6590,,533,35.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Anantnag,3,0,2,0,207,4071,0,0,0,16368,0,0,0,1070144,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,16600,205,16376,,759293,391947,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,1151240.0,794081.0,63700.0,559,3,554,425572.0,247874.0,6199,126,6076,,533,20.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Bandipora,2,0,2,0,56,1028,0,0,0,9679,0,0,0,385099,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,9811,102,9691,,303588,152976,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,456564.0,-1314801.0,63700.0,559,3,554,425572.0,247874.0,-43487,-1043,-42408,,533,13.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Ganderbal,5,0,1,0,39,1117,0,0,0,10302,0,0,0,297003,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,10423,79,10307,,227253,131062,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,358315.0,-365324.0,63700.0,559,3,554,425572.0,247874.0,1098,-72,1137,,533,14.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Kulgam,0,0,0,0,84,3706,0,0,0,11362,0,0,0,422786,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,11488,117,11365,,400966,197755,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,598721.0,357909.0,63700.0,559,3,554,425572.0,247874.0,6670,73,6592,,533,0.0,14285879.0,0
2021-10-29,JK,90,0,81,39678.0,4262,59438,0,331717.0,4430.0,326431.0,15979137.0,9484136.0,4801743.0,Shopiyan,0,0,0,0,22,1411,0,0,0,5549,0,0,0,265960,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,5607,58,5549,,203020,93848,2021-10-29 17:00:00+05:30,13203000,2021-10-29 17:00:00+05:30,https://twitter.com/diprjk,,332053,4432,326749,16124429,9505266,5038168,14543434.0,296868.0,-298063.0,63700.0,559,3,554,425572.0,247874.0,-5880,-59,-5813,,533,0.0,14285879.0,0
