Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-29,ML,East Garo Hills,1865,13,1843,,47634,20584,68218,83559,1449,81628,1147929.0,1102140,637171,1739311
2021-10-29,ML,East Jaintia Hills,2430,31,2394,,64418,33154,97572,83559,1449,81628,1147929.0,1102140,637171,1739311
2021-10-29,ML,East Khasi Hills,40977,986,39700,,317977,224053,542030,83559,1449,81628,1147929.0,1102140,637171,1739311
2021-10-29,ML,North Garo Hills,1683,8,1674,,62600,27857,90457,83559,1449,81628,1147929.0,1102140,637171,1739311
2021-10-29,ML,Ribhoi,9693,89,9578,,91906,48021,139927,83559,1449,81628,1147929.0,1102140,637171,1739311
2021-10-29,ML,South Garo Hills,1216,12,1203,,40022,18677,58699,83559,1449,81628,1147929.0,1102140,637171,1739311
2021-10-29,ML,South West Garo Hills,1872,17,1850,,73287,38707,111994,83559,1449,81628,1147929.0,1102140,637171,1739311
2021-10-29,ML,South West Khasi Hills,2548,17,2525,,33364,17047,50411,83559,1449,81628,1147929.0,1102140,637171,1739311
2021-10-29,ML,West Garo Hills,9024,72,8942,,209480,118953,328433,83559,1449,81628,1147929.0,1102140,637171,1739311
2021-10-29,ML,West Jaintia Hills,6802,133,6639,,84494,47318,131812,83559,1449,81628,1147929.0,1102140,637171,1739311
2021-10-29,ML,West Khasi Hills,5449,71,5280,,76958,42800,119758,83559,1449,81628,1147929.0,1102140,637171,1739311
