Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-10-29,Mizoram,Aizawl,,,,,,,,2021-10-30 21:28:01.393615,,,,120780,427,113246,
2021-10-29,Mizoram,Champhai,,,,,,,,2021-10-30 21:28:01.393615,,,,120780,427,113246,
2021-10-29,Mizoram,Hnahthial,,,,,,,,2021-10-30 21:28:01.393615,,,,120780,427,113246,
2021-10-29,Mizoram,Khawzawl,,,,,,,,2021-10-30 21:28:01.393615,,,,120780,427,113246,
2021-10-29,Mizoram,Kolasib,,,,,,,,2021-10-30 21:28:01.393615,,,,120780,427,113246,
2021-10-29,Mizoram,Lawngtlai,,,,,,,,2021-10-30 21:28:01.393615,,,,120780,427,113246,
2021-10-29,Mizoram,Lunglei,,,,,,,,2021-10-30 21:28:01.393615,,,,120780,427,113246,
2021-10-29,Mizoram,Mamit,,,,,,,,2021-10-30 21:28:01.393615,,,,120780,427,113246,
2021-10-29,Mizoram,Saiha,,,,,,,,2021-10-30 21:28:01.393615,,,,120780,427,113246,
2021-10-29,Mizoram,Saitual,,,,,,,,2021-10-30 21:28:01.393615,,,,120780,427,113246,
2021-10-29,Mizoram,Serchhip,,,,,,,,2021-10-30 21:28:01.393615,,,,120780,427,113246,
2021-10-29,Mizoram,Unknown,,,,120780,427,113246,,2021-10-30 21:28:01.393615,,,,120780,427,113246,
