Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-30,AP,Anantapur,157839,1093,156694,787085.0,2685507,1606106,4291613,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,Chittoor,246871,1946,244057,780322.0,2832109,1806567,4638676,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,East Godavari,293749,1290,291489,944746.0,3532179,1990341,5522520,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,Foreign Evacuees,434,0,434,,,,,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,Guntur,178035,1237,176431,833823.0,3438999,1890525,5329524,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,Krishna,119302,1429,117059,782232.0,2971553,1914590,4886143,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,Kurnool,124136,853,123261,867361.0,2668043,1288881,3956924,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,Other State,2461,0,2461,,,,,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,Prakasam,138476,1124,136952,697340.0,2317739,1515305,3833044,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,S.P.S. Nellore,146354,1052,144896,682964.0,2140678,1401601,3542279,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,Srikakulam,123090,786,122116,670899.0,1630246,974728,2604974,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,Visakhapatnam,157710,1127,156462,744983.0,2998123,1862649,4860772,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,Vizianagaram,82960,671,82220,531433.0,1392890,994242,2387132,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,West Godavari,179037,1117,177636,793098.0,2524439,1776923,4301362,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
2021-10-30,AP,Y.S.R. Kadapa,115611,644,114879,671761.0,1823027,1327610,3150637,2066065,14369,2047047,29478939.0,32955532,20350068,53305600
