Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-10-30,JH,Bokaro,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Chatra,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Deoghar,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Dhanbad,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Dumka,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,East Singhbhum,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Garhwa,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Giridih,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Godda,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Gumla,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Hazaribagh,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Jamtara,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Khunti,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Koderma,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Latehar,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Lohardaga,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Pakur,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Palamu,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Ramgarh,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Ranchi,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Sahibganj,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Saraikela-Kharsawan,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Simdega,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,West Singhbhum,,,,,,,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
2021-10-30,JH,Unknown,,,,348754,5138,343510,,2021-10-31 13:23:20.429082,,,,348754,5138,343510,
