Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-10-30,PB,26,1,27,0,,,0,602290.1428571428,16555.0,585493.0,,15846482.0,6128877.0,Amritsar,0,0,0,,0,0,0,0,0,0,0,0,0,2490891,,,,47369,1598,45753,,1262841,446236,2021-10-31 13:23:20.429082,29859000,,,,602375,16558,585566,,15938651,6233923,22172574.0,,21975359.0,1709077.0,0
2021-10-30,PB,26,1,27,0,,,0,602290.1428571428,16555.0,585493.0,,15846482.0,6128877.0,Barnala,0,0,0,,0,0,0,0,0,0,0,0,0,596294,,,,5949,244,5696,,327835,103906,2021-10-31 13:23:20.429082,29859000,,,,602375,16558,585566,,15938651,6233923,22172574.0,,21975359.0,431741.0,0
2021-10-30,PB,26,1,27,0,,,0,602290.1428571428,16555.0,585493.0,,15846482.0,6128877.0,Bathinda,0,0,0,,0,0,0,0,0,0,0,0,0,1388859,,,,41723,1042,40664,,623494,202129,2021-10-31 13:23:20.429082,29859000,,,,602375,16558,585566,,15938651,6233923,22172574.0,,21975359.0,825623.0,0
2021-10-30,PB,26,1,27,0,,,0,602290.1428571428,16555.0,585493.0,,15846482.0,6128877.0,Faridkot,0,0,0,,0,0,0,0,0,0,0,0,0,618008,,,,13923,315,13597,,330500,128412,2021-10-31 13:23:20.429082,29859000,,,,602375,16558,585566,,15938651,6233923,22172574.0,,21975359.0,458912.0,0
2021-10-30,PB,26,1,27,0,,,0,602290.1428571428,16555.0,585493.0,,15846482.0,6128877.0,Fatehgarh Sahib,0,0,0,,0,0,0,0,0,0,0,0,0,599814,,,,8875,335,8538,,354912,135230,2021-10-31 13:23:20.429082,29859000,,,,602375,16558,585566,,15938651,6233923,22172574.0,,21975359.0,490142.0,0
2021-10-30,PB,26,1,27,0,,,0,602290.1428571428,16555.0,585493.0,,15846482.0,6128877.0,Fazilka,0,0,0,,0,0,0,0,0,0,0,0,0,1180483,,,,20266,528,19728,,489831,131342,2021-10-31 13:23:20.429082,29859000,,,,602375,16558,585566,,15938651,6233923,22172574.0,,21975359.0,621173.0,0
2021-10-30,PB,26,1,27,0,,,0,602290.1428571428,16555.0,585493.0,,15846482.0,6128877.0,Ferozepur,0,0,0,,0,0,0,0,0,0,0,0,0,2026831,,,,14342,504,13826,,476213,127970,2021-10-31 13:23:20.429082,29859000,,,,602375,16558,585566,,15938651,6233923,22172574.0,,21975359.0,604183.0,0
2021-10-30,PB,26,1,27,0,,,0,602290.1428571428,16555.0,585493.0,,15846482.0,6128877.0,Gurdaspur,0,0,0,,0,0,0,0,0,0,0,0,0,2299026,,,,22380,800,21576,,861674,415000,2021-10-31 13:23:20.429082,29859000,,,,602375,16558,585566,,15938651,6233923,22172574.0,,21975359.0,1276674.0,0
2021-10-30,PB,26,1,27,0,,,0,602290.1428571428,16555.0,585493.0,,15846482.0,6128877.0,Hoshiarpur,0,0,0,,0,0,0,0,0,0,0,0,0,1582793,,,,30817,984,29824,,1000549,574505,2021-10-31 13:23:20.429082,29859000,,,,602375,16558,585566,,15938651,6233923,22172574.0,,21975359.0,1575054.0,0
2021-10-30,PB,26,1,27,0,,,0,602290.1428571428,16555.0,585493.0,,15846482.0,6128877.0,Jalandhar,0,0,0,,0,0,0,0,0,0,0,0,0,2181753,,,,63390,1496,61861,,1433386,680863,2021-10-31 13:23:20.429082,29859000,,,,602375,16558,585566,,15938651,6233923,22172574.0,,21975359.0,2114249.0,0
2021-10-30,PB,26,1,27,0,,,0,602290.1428571428,16555.0,585493.0,,15846482.0,6128877.0,Kapurthala,0,0,0,,0,0,0,0,0,0,0,0,0,817668,,,,17851,556,17291,,465192,187302,2021-10-31 13:23:20.429082,29859000,,,,602375,16558,585566,,15938651,6233923,22172574.0,,21975359.0,652494.0,0
