Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-30,UT,Almora,12190,196,11378,84443.0,378205,215299,593504,343891,7400,330186,7771624.0,7476932,3884923,11361855
2021-10-30,UT,Bageshwar,5764,60,5678,55626.0,183372,129958,313330,343891,7400,330186,7771624.0,7476932,3884923,11361855
2021-10-30,UT,Chamoli,12242,62,11972,90390.0,273837,191152,464989,343891,7400,330186,7771624.0,7476932,3884923,11361855
2021-10-30,UT,Champawat,7602,53,7358,95068.0,183310,119257,302567,343891,7400,330186,7771624.0,7476932,3884923,11361855
2021-10-30,UT,Dehradun,112360,3521,108133,401496.0,1465156,790192,2255348,343891,7400,330186,7771624.0,7476932,3884923,11361855
2021-10-30,UT,Haridwar,51497,1019,49096,369542.0,1456033,633453,2089486,343891,7400,330186,7771624.0,7476932,3884923,11361855
2021-10-30,UT,Nainital,39232,944,38137,204422.0,722823,398392,1121215,343891,7400,330186,7771624.0,7476932,3884923,11361855
2021-10-30,UT,Pauri Garhwal,17686,315,16668,138878.0,431295,229154,660449,343891,7400,330186,7771624.0,7476932,3884923,11361855
2021-10-30,UT,Pithoragarh,10260,181,9961,72686.0,318555,183156,501711,343891,7400,330186,7771624.0,7476932,3884923,11361855
2021-10-30,UT,Rudraprayag,8800,106,8534,52378.0,170881,113154,284035,343891,7400,330186,7771624.0,7476932,3884923,11361855
2021-10-30,UT,Tehri Garhwal,15835,108,14827,105111.0,381481,206407,587888,343891,7400,330186,7771624.0,7476932,3884923,11361855
2021-10-30,UT,Udham Singh Nagar,37875,761,36315,337292.0,1277571,514745,1792316,343891,7400,330186,7771624.0,7476932,3884923,11361855
2021-10-30,UT,Uttarkashi,12548,74,12129,120026.0,234413,160604,395017,343891,7400,330186,7771624.0,7476932,3884923,11361855
