Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-10-31,DL,Central Delhi,,,,,,,,2021-10-31 21:14:26.988478,,,,1439825,25091,1414385,
2021-10-31,DL,East Delhi,,,,,,,,2021-10-31 21:14:26.988478,,,,1439825,25091,1414385,
2021-10-31,DL,New Delhi,,,,,,,,2021-10-31 21:14:26.988478,,,,1439825,25091,1414385,
2021-10-31,DL,North Delhi,,,,,,,,2021-10-31 21:14:26.988478,,,,1439825,25091,1414385,
2021-10-31,DL,North East Delhi,,,,,,,,2021-10-31 21:14:26.988478,,,,1439825,25091,1414385,
2021-10-31,DL,North West Delhi,,,,,,,,2021-10-31 21:14:26.988478,,,,1439825,25091,1414385,
2021-10-31,DL,Shahdara,,,,,,,,2021-10-31 21:14:26.988478,,,,1439825,25091,1414385,
2021-10-31,DL,South Delhi,,,,,,,,2021-10-31 21:14:26.988478,,,,1439825,25091,1414385,
2021-10-31,DL,South East Delhi,,,,,,,,2021-10-31 21:14:26.988478,,,,1439825,25091,1414385,
2021-10-31,DL,South West Delhi,,,,,,,,2021-10-31 21:14:26.988478,,,,1439825,25091,1414385,
2021-10-31,DL,West Delhi,,,,,,,,2021-10-31 21:14:26.988478,,,,1439825,25091,1414385,
2021-10-31,DL,Unknown,,,,1439825,25091,1414385,,2021-10-31 21:14:26.988478,,,,1439825,25091,1414385,
