Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-10-31,RJ,0,0.0,-940998.0,-14794265.0,10670,33555,0,818070.0,8954.0,811009.0,12649020.0,42543054.0,20093989.0,Ajmer,-37769,0,0,-604383,110,1101,0,32371.0,410.0,37351.0,321876.0,1752308,1042482,2584913,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,410,37352,1,1752308,1042482,2021-10-31 18:00:00+05:30,77264000,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,8954,4443,33,42543054,20093989,62637043.0,44225.0,62637043.0,2794790.0,1211
2021-10-31,RJ,0,0.0,-940998.0,-14794265.0,10670,33555,0,818070.0,8954.0,811009.0,12649020.0,42543054.0,20093989.0,Alwar,-59694,0,0,-1202562,376,1002,0,51166.0,307.0,59387.0,510233.0,2237787,1029095,3671999,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,307,59387,2,2237787,1029095,2021-10-31 18:00:00+05:30,77264000,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,8954,4443,33,42543054,20093989,62637043.0,44225.0,62637043.0,3266882.0,1378
2021-10-31,RJ,0,0.0,-940998.0,-14794265.0,10670,33555,0,818070.0,8954.0,811009.0,12649020.0,42543054.0,20093989.0,Banswara,-10005,0,2033,-216239,986,1105,0,,,,,1024293,525793,1798194,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,104,11934,3,1024293,525793,2021-10-31 18:00:00+05:30,77264000,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,8954,4443,33,42543054,20093989,62637043.0,44225.0,62637043.0,1550086.0,2091
2021-10-31,RJ,0,0.0,-940998.0,-14794265.0,10670,33555,0,818070.0,8954.0,811009.0,12649020.0,42543054.0,20093989.0,Baran,-11996,0,3443,-149639,44,212,0,,,,,763006,297741,1223921,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,61,15377,4,763006,297741,2021-10-31 18:00:00+05:30,77264000,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,8954,4443,33,42543054,20093989,62637043.0,44225.0,62637043.0,1060747.0,256
2021-10-31,RJ,0,0.0,-940998.0,-14794265.0,10670,33555,0,818070.0,8954.0,811009.0,12649020.0,42543054.0,20093989.0,Barmer,-15563,0,3964,-322126,64,247,0,,,,,1455732,621465,2604453,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,185,19341,5,1455732,621465,2021-10-31 18:00:00+05:30,77264000,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,8954,4443,33,42543054,20093989,62637043.0,44225.0,62637043.0,2077197.0,311
2021-10-31,RJ,0,0.0,-940998.0,-14794265.0,10670,33555,0,818070.0,8954.0,811009.0,12649020.0,42543054.0,20093989.0,Bharatpur,-19601,0,10284,-378326,59,176,0,,,,,1351114,590401,2549121,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,260,29625,6,1351114,590401,2021-10-31 18:00:00+05:30,77264000,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,8954,4443,33,42543054,20093989,62637043.0,44225.0,62637043.0,1941515.0,235
2021-10-31,RJ,0,0.0,-940998.0,-14794265.0,10670,33555,0,818070.0,8954.0,811009.0,12649020.0,42543054.0,20093989.0,Bhilwara,-29781,0,10167,-376546,161,1752,0,,,,,1525323,723691,2410459,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,156,39792,7,1525323,723691,2021-10-31 18:00:00+05:30,77264000,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,8954,4443,33,42543054,20093989,62637043.0,44225.0,62637043.0,2249014.0,1913
2021-10-31,RJ,0,0.0,-940998.0,-14794265.0,10670,33555,0,818070.0,8954.0,811009.0,12649020.0,42543054.0,20093989.0,Bikaner,-40339,0,-31872,-582774,76,275,0,,,,,1461174,714590,2367745,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,545,7919,8,1461174,714590,2021-10-31 18:00:00+05:30,77264000,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,8954,4443,33,42543054,20093989,62637043.0,44225.0,62637043.0,2175764.0,351
2021-10-31,RJ,0,0.0,-940998.0,-14794265.0,10670,33555,0,818070.0,8954.0,811009.0,12649020.0,42543054.0,20093989.0,Bundi,-7967,0,11751,-168329,424,1216,0,,,,,709316,362835,1113725,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,48,19670,9,709316,362835,2021-10-31 18:00:00+05:30,77264000,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,8954,4443,33,42543054,20093989,62637043.0,44225.0,62637043.0,1072151.0,1640
2021-10-31,RJ,0,0.0,-940998.0,-14794265.0,10670,33555,0,818070.0,8954.0,811009.0,12649020.0,42543054.0,20093989.0,Chittorgarh,-19809,0,-3057,-349670,21,43,0,,,,,978713,482350,1544392,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,139,16613,10,978713,482350,2021-10-31 18:00:00+05:30,77264000,2021-10-31 18:00:00+05:30,https://twitter.com/dineshkumawat,,0,8954,4443,33,42543054,20093989,62637043.0,44225.0,62637043.0,1461063.0,64
