Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-10-31,WB,914,15,913,47417.0,207817,59002,0,6453.0,86.0,5953.0,300114.0,3801496.0,1870260.0,Alipurduar,4,0,5,,579,1298,0,31.0,0.0,35.0,,38488.0,29790.0,1700000,,,,15589,102,15441,,949775,353666,2021-11-11T16:06:54.615898+05:30,96906000,,,,1592908,19141,1565471,19228303,56183405,21558154
2021-10-31,WB,914,15,913,47417.0,207817,59002,0,6453.0,86.0,5953.0,300114.0,3801496.0,1870260.0,Bankura,30,0,21,,29454,4451,0,161.0,1.0,133.0,,166098.0,47791.0,3596292,,,,36313,274,35839,,1525144,484174,2021-11-11T16:06:54.615898+05:30,96906000,,,,1592908,19141,1565471,19228303,56183405,21558154
2021-10-31,WB,914,15,913,47417.0,207817,59002,0,6453.0,86.0,5953.0,300114.0,3801496.0,1870260.0,Birbhum,20,0,20,,4866,595,0,176.0,0.0,102.0,,61166.0,52148.0,3502387,,,,41197,286,40727,,1347795,531297,2021-11-11T16:06:54.615898+05:30,96906000,,,,1592908,19141,1565471,19228303,56183405,21558154
2021-10-31,WB,914,15,913,47417.0,207817,59002,0,6453.0,86.0,5953.0,300114.0,3801496.0,1870260.0,Cooch Behar,10,0,13,,3386,395,0,77.0,0.0,93.0,,1444232.0,421663.0,2822780,,,,29275,97,29060,,1444232,421663,2021-11-11T16:06:54.615898+05:30,96906000,,,,1592908,19141,1565471,19228303,56183405,21558154
2021-10-31,WB,914,15,913,47417.0,207817,59002,0,6453.0,86.0,5953.0,300114.0,3801496.0,1870260.0,Dakshin Dinajpur,14,0,16,,724,998,0,111.0,1.0,108.0,,53398.0,21657.0,1670931,,,,17889,170,17573,,1063493,363056,2021-11-11T16:06:54.615898+05:30,96906000,,,,1592908,19141,1565471,19228303,56183405,21558154
2021-10-31,WB,914,15,913,47417.0,207817,59002,0,6453.0,86.0,5953.0,300114.0,3801496.0,1870260.0,Darjeeling,23,0,31,,945,1844,0,189.0,1.0,214.0,,21148.0,69087.0,1842034,,,,57143,539,56326,,1324555,664306,2021-11-11T16:06:54.615898+05:30,96906000,,,,1592908,19141,1565471,19228303,56183405,21558154
2021-10-31,WB,914,15,913,47417.0,207817,59002,0,6453.0,86.0,5953.0,300114.0,3801496.0,1870260.0,Hooghly,58,0,74,,41006,9034,0,472.0,2.0,497.0,,274722.0,105570.0,5520389,,,,86300,990,84650,,3368156,1343978,2021-11-11T16:06:54.615898+05:30,96906000,,,,1592908,19141,1565471,19228303,56183405,21558154
2021-10-31,WB,914,15,913,47417.0,207817,59002,0,6453.0,86.0,5953.0,300114.0,3801496.0,1870260.0,Howrah,73,0,73,,14299,4502,0,518.0,2.0,473.0,,207351.0,95203.0,4841638,,,,98757,1524,96567,,2905925,1254076,2021-11-11T16:06:54.615898+05:30,96906000,,,,1592908,19141,1565471,19228303,56183405,21558154
2021-10-31,WB,914,15,913,47417.0,207817,59002,0,6453.0,86.0,5953.0,300114.0,3801496.0,1870260.0,Jalpaiguri,16,1,17,,9642,3130,0,102.0,6.0,120.0,,53967.0,63773.0,3869675,,,,41982,572,41256,,1144138,410719,2021-11-11T16:06:54.615898+05:30,96906000,,,,1592908,19141,1565471,19228303,56183405,21558154
2021-10-31,WB,914,15,913,47417.0,207817,59002,0,6453.0,86.0,5953.0,300114.0,3801496.0,1870260.0,Jhargram,3,0,5,,477,700,0,25.0,0.0,39.0,,39020.0,19553.0,1136548,,,,12135,27,12063,,714456,211586,2021-11-11T16:06:54.615898+05:30,96906000,,,,1592908,19141,1565471,19228303,56183405,21558154
2021-10-31,WB,914,15,913,47417.0,207817,59002,0,6453.0,86.0,5953.0,300114.0,3801496.0,1870260.0,Kalimpong,2,0,4,,8,429,0,18.0,0.0,28.0,,513.0,10626.0,251642,,,,7036,54,6950,,180713,124420,2021-11-11T16:06:54.615898+05:30,96906000,,,,1592908,19141,1565471,19228303,56183405,21558154
2021-10-31,WB,914,15,913,47417.0,207817,59002,0,6453.0,86.0,5953.0,300114.0,3801496.0,1870260.0,Kolkata,274,6,244,,334,1626,0,1843.0,25.0,1553.0,,36977.0,206020.0,4486679,,,,322541,5152,315146,,4784084,3039486,2021-11-11T16:06:54.615898+05:30,96906000,,,,1592908,19141,1565471,19228303,56183405,21558154
