Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-11-01,AS,212,1,236,0,34340,147590,0,610036.7142857143,5991.142857142857,600268.0,,20206410.0,8216162.0,Airport Quarantine,,,,,0,0,0,,,,,0,0,0,,,,,,,,0,0,2021-11-03 09:46:07.874821,34293000,,,,610645,5997,600974,,20206410,8216162,28422572.0,181930.0,28422572.0,,0
2021-11-01,AS,212,1,236,0,34340,147590,0,610036.7142857143,5991.142857142857,600268.0,,20206410.0,8216162.0,Baksa,,,,,427,2962,0,,,,,554394,139536,953773,,,,,,,,554394,139536,2021-11-03 09:46:07.874821,34293000,,,,610645,5997,600974,,20206410,8216162,28422572.0,181930.0,28422572.0,693930.0,3389
2021-11-01,AS,212,1,236,0,34340,147590,0,610036.7142857143,5991.142857142857,600268.0,,20206410.0,8216162.0,Barpeta,,,,,1367,9289,0,,,,,1096415,457295,1693190,,,,,,,,1096415,457295,2021-11-03 09:46:07.874821,34293000,,,,610645,5997,600974,,20206410,8216162,28422572.0,181930.0,28422572.0,1553710.0,10656
2021-11-01,AS,212,1,236,0,34340,147590,0,610036.7142857143,5991.142857142857,600268.0,,20206410.0,8216162.0,Biswanath,,,,,633,4167,0,,,,,456721,217604,612491,,,,,,,,456721,217604,2021-11-03 09:46:07.874821,34293000,,,,610645,5997,600974,,20206410,8216162,28422572.0,181930.0,28422572.0,674325.0,4800
2021-11-01,AS,212,1,236,0,34340,147590,0,610036.7142857143,5991.142857142857,600268.0,,20206410.0,8216162.0,Bongaigaon,,,,,753,8889,0,,,,,493995,192671,732639,,,,,,,,493995,192671,2021-11-03 09:46:07.874821,34293000,,,,610645,5997,600974,,20206410,8216162,28422572.0,181930.0,28422572.0,686666.0,9642
2021-11-01,AS,212,1,236,0,34340,147590,0,610036.7142857143,5991.142857142857,600268.0,,20206410.0,8216162.0,Cachar,,,,,2692,2587,0,,,,,1103958,405122,1736319,,,,,,,,1103958,405122,2021-11-03 09:46:07.874821,34293000,,,,610645,5997,600974,,20206410,8216162,28422572.0,181930.0,28422572.0,1509080.0,5279
2021-11-01,AS,212,1,236,0,34340,147590,0,610036.7142857143,5991.142857142857,600268.0,,20206410.0,8216162.0,Charaideo,,,,,213,2222,0,,,,,309338,113441,0,,,,,,,,309338,113441,2021-11-03 09:46:07.874821,34293000,,,,610645,5997,600974,,20206410,8216162,28422572.0,181930.0,28422572.0,422779.0,2435
2021-11-01,AS,212,1,236,0,34340,147590,0,610036.7142857143,5991.142857142857,600268.0,,20206410.0,8216162.0,Chirang,,,,,359,1905,0,,,,,289055,104302,481818,,,,,,,,289055,104302,2021-11-03 09:46:07.874821,34293000,,,,610645,5997,600974,,20206410,8216162,28422572.0,181930.0,28422572.0,393357.0,2264
2021-11-01,AS,212,1,236,0,34340,147590,0,610036.7142857143,5991.142857142857,600268.0,,20206410.0,8216162.0,Darrang,,,,,1790,3296,0,,,,,598573,187020,908090,,,,,,,,598573,187020,2021-11-03 09:46:07.874821,34293000,,,,610645,5997,600974,,20206410,8216162,28422572.0,181930.0,28422572.0,785593.0,5086
2021-11-01,AS,212,1,236,0,34340,147590,0,610036.7142857143,5991.142857142857,600268.0,,20206410.0,8216162.0,Dhemaji,,,,,723,3283,0,,,,,432515,187534,688077,,,,,,,,432515,187534,2021-11-03 09:46:07.874821,34293000,,,,610645,5997,600974,,20206410,8216162,28422572.0,181930.0,28422572.0,620049.0,4006
