Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Bishnupur,0,0,,71,48,1329,0,,,,,128950,66120,240363,2021-11-01 20:00:00,https://twitter.com/health_manipur,,9155,190,,70032,128950,66120,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,195070.0,1377
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Chandel,1,1,,26,7,145,0,,,,,26641,15342,144028,2021-11-01 20:00:00,https://twitter.com/health_manipur,,2333,39,,31325,26641,15342,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,41983.0,152
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Churachandpur,4,0,,63,5,43,0,,,,,104252,62251,271274,2021-11-01 20:00:00,https://twitter.com/health_manipur,,10140,161,,115956,104252,62251,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,166503.0,48
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Imphal East,15,0,,227,361,2601,0,,,,,251987,151554,452661,2021-11-01 20:00:00,https://twitter.com/health_manipur,,27413,457,,237727,251987,151554,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,403541.0,2962
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Imphal West,34,0,,404,130,835,0,,,,,308912,200239,514683,2021-11-01 20:00:00,https://twitter.com/health_manipur,,43133,639,,429661,308912,200239,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,509151.0,965
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Jiribam,0,0,,22,10,301,0,,,,,27921,17563,43818,2021-11-01 20:00:00,https://twitter.com/health_manipur,,1022,7,,27000,27921,17563,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,45484.0,311
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Kakching,0,0,,42,52,370,0,,,,,84754,50023,135481,2021-11-01 20:00:00,https://twitter.com/health_manipur,,6399,111,,58731,84754,50023,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,134777.0,422
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Kamjong,1,0,,6,0,13,0,,,,,10502,5383,45616,2021-11-01 20:00:00,https://twitter.com/health_manipur,,932,5,,13228,10502,5383,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,15885.0,13
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Kangpokpi,0,0,,14,27,133,0,,,,,39054,19148,0,2021-11-01 20:00:00,https://twitter.com/health_manipur,,2780,61,,40100,39054,19148,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,58202.0,160
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Noney,0,0,,5,5,167,0,,,,,16803,9986,0,2021-11-01 20:00:00,https://twitter.com/health_manipur,,1067,4,,17376,16803,9986,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,26789.0,172
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Pherzawl,0,0,,8,9,92,0,,,,,12426,9980,47250,2021-11-01 20:00:00,https://twitter.com/health_manipur,,464,0,,6988,12426,9980,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,22406.0,101
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Senapati,0,0,,126,21,299,0,,,,,28268,18587,354772,2021-11-01 20:00:00,https://twitter.com/health_manipur,,2229,10,,62111,28268,18587,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,46855.0,320
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Tamenglong,1,0,,86,44,197,0,,,,,19975,10558,140143,2021-11-01 20:00:00,https://twitter.com/health_manipur,,3279,13,,47910,19975,10558,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,30533.0,241
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Tengnoupal,0,0,,5,8,79,0,,,,,26217,12242,0,2021-11-01 20:00:00,https://twitter.com/health_manipur,,1056,13,,15015,26217,12242,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,38459.0,87
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Thoubal,0,1,,92,46,1075,0,,,,,141354,63354,420517,2021-11-01 20:00:00,https://twitter.com/health_manipur,,9442,174,,117229,141354,63354,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,204708.0,1121
2021-11-01,MN,56,2,0,1245,819,7823,0,123599.57142857143,1919.0,,1363914.0,1250255.0,727233.0,Ukhrul,0,0,,48,46,144,0,,,,,22239,14903,183115,2021-11-01 20:00:00,https://twitter.com/health_manipur,,2943,39,,78529,22239,14903,2021-11-01 20:00:00,3103000,2021-11-01 20:00:00,https://twitter.com/health_manipur,,123787,1923,,1368918,1250255,727233,1977488.0,8642.0,1977488.0,37142.0,190
