Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-11-01,WB,Alipurduar,,,,15589,102,15441,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Bankura,,,,36313,274,35839,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Birbhum,,,,41197,286,40727,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Cooch Behar,,,,29275,97,29060,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Dakshin Dinajpur,,,,17889,170,17573,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Darjeeling,,,,57143,539,56326,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Hooghly,,,,86300,990,84650,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Howrah,,,,98757,1524,96567,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Jalpaiguri,,,,41982,572,41256,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Jhargram,,,,12135,27,12063,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Kalimpong,,,,7036,54,6950,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Kolkata,,,,322541,5152,315146,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Malda,,,,33406,186,33121,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Murshidabad,,,,33993,328,33605,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Nadia,,,,73333,859,72054,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,North 24 Parganas,,,,329257,4833,323097,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Other State,,,,66,3,63,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Paschim Bardhaman,,,,57778,356,57184,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Paschim Medinipur,,,,53581,507,52820,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Purba Bardhaman,,,,42005,198,41588,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Purba Medinipur,,,,63098,397,62549,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Purulia,,,,19419,113,19283,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,South 24 Parganas,,,,100957,1336,98950,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Uttar Dinajpur,,,,19858,238,19559,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
2021-11-01,WB,Unknown,,,,0,0,0,,2021-11-03 09:46:07.874821,,,,1592908,19141,1565471,
