Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-11-02,BR,9,0,8,227593,116209,165493,0,726091.1428571428,9661.0,716385.0,50298499.0,50097890.0,18683790.0,Araria,0,0,0,,7041,3936,0,14977.0,116.0,14859.0,,1191299,402987,2806200,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,14978,116,14860,,1191299,402987,2021-11-03 09:49,119520000,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,726111,9661,716405,50932872,50097890,18683790,68781680.0,281702.0,68781680.0,1594286.0,10977
2021-11-02,BR,9,0,8,227593,116209,165493,0,726091.1428571428,9661.0,716385.0,50298499.0,50097890.0,18683790.0,Arwal,0,0,0,,274,1489,0,7381.0,74.0,7307.0,,345753,119614,700843,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,7381,74,7307,,345753,119614,2021-11-03 09:49,119520000,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,726111,9661,716405,50932872,50097890,18683790,68781680.0,281702.0,68781680.0,465367.0,1763
2021-11-02,BR,9,0,8,227593,116209,165493,0,726091.1428571428,9661.0,716385.0,50298499.0,50097890.0,18683790.0,Aurangabad,0,0,0,,3230,5158,0,20011.0,75.0,19936.0,,1137317,416794,2511243,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,20011,75,19936,,1137317,416794,2021-11-03 09:49,119520000,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,726111,9661,716405,50932872,50097890,18683790,68781680.0,281702.0,68781680.0,1554111.0,8388
2021-11-02,BR,9,0,8,227593,116209,165493,0,726091.1428571428,9661.0,716385.0,50298499.0,50097890.0,18683790.0,Banka,0,0,0,,2658,3546,0,7379.0,112.0,7267.0,,940905,358514,2029339,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,7379,112,7267,,940905,358514,2021-11-03 09:49,119520000,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,726111,9661,716405,50932872,50097890,18683790,68781680.0,281702.0,68781680.0,1299419.0,6204
2021-11-02,BR,9,0,8,227593,116209,165493,0,726091.1428571428,9661.0,716385.0,50298499.0,50097890.0,18683790.0,Begusarai,1,0,0,,3098,3105,0,27211.0,457.0,26753.0,,1435765,487587,2954367,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,27213,457,26754,,1435765,487587,2021-11-03 09:49,119520000,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,726111,9661,716405,50932872,50097890,18683790,68781680.0,281702.0,68781680.0,1923352.0,6203
2021-11-02,BR,9,0,8,227593,116209,165493,0,726091.1428571428,9661.0,716385.0,50298499.0,50097890.0,18683790.0,Bhagalpur,0,0,0,,2660,3710,0,25840.0,309.0,25530.0,,1500461,658113,3032226,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,25840,309,25531,,1500461,658113,2021-11-03 09:49,119520000,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,726111,9661,716405,50932872,50097890,18683790,68781680.0,281702.0,68781680.0,2158574.0,6370
2021-11-02,BR,9,0,8,227593,116209,165493,0,726091.1428571428,9661.0,716385.0,50298499.0,50097890.0,18683790.0,Bhojpur,0,0,0,,1913,3348,0,10210.0,159.0,10051.0,,1295600,390615,2720155,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,10210,159,10051,,1295600,390615,2021-11-03 09:49,119520000,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,726111,9661,716405,50932872,50097890,18683790,68781680.0,281702.0,68781680.0,1686215.0,5261
2021-11-02,BR,9,0,8,227593,116209,165493,0,726091.1428571428,9661.0,716385.0,50298499.0,50097890.0,18683790.0,Buxar,0,0,0,,1178,2816,0,9248.0,182.0,9066.0,,910039,329282,1707643,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,9248,182,9066,,910039,329282,2021-11-03 09:49,119520000,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,726111,9661,716405,50932872,50097890,18683790,68781680.0,281702.0,68781680.0,1239321.0,3994
2021-11-02,BR,9,0,8,227593,116209,165493,0,726091.1428571428,9661.0,716385.0,50298499.0,50097890.0,18683790.0,Darbhanga,1,0,0,,3879,7882,0,10937.0,370.0,10567.0,,1876160,756477,3921971,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,10938,370,10567,,1876160,756477,2021-11-03 09:49,119520000,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,726111,9661,716405,50932872,50097890,18683790,68781680.0,281702.0,68781680.0,2632637.0,11761
2021-11-02,BR,9,0,8,227593,116209,165493,0,726091.1428571428,9661.0,716385.0,50298499.0,50097890.0,18683790.0,Gaya,0,0,0,,4979,4077,0,,,,,1934072,731301,4379383,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,33952,280,33672,,1934072,731301,2021-11-03 09:49,119520000,2021-11-02 09:49,https://twitter.com/BiharHealthDept,,726111,9661,716405,50932872,50097890,18683790,68781680.0,281702.0,68781680.0,2665373.0,9056
