Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-02,GJ,30,0,27,44453,41753,254925,0,163.0,2.0,133.0,318099.0,44820965.0,26521835.0,Ahmedabad,5,0,9,,2933,23212,0,22.0,0.0,21.0,33212.0,5968331.0,3489408.0,7208200,2021-11-14 09:07:37.423111,,,238342,3411,234902,5311265,5968331,3489408,2021-11-14 09:07:37.422419,67936000,2021-11-14 09:07:37.423494,,,826465,10087,816179,31008555,44820965,26521835
2021-11-02,GJ,30,0,27,44453,41753,254925,0,163.0,2.0,133.0,318099.0,44820965.0,26521835.0,Amreli,0,0,0,,752,6341,0,0.0,0.0,0.0,5175.0,928935.0,565682.0,1513614,2021-11-14 09:07:37.423111,,,10810,102,10708,594691,928935,565682,2021-11-14 09:07:37.422419,67936000,2021-11-14 09:07:37.423494,,,826465,10087,816179,31008555,44820965,26521835
2021-11-02,GJ,30,0,27,44453,41753,254925,0,163.0,2.0,133.0,318099.0,44820965.0,26521835.0,Anand,0,0,1,,6960,9310,0,6.0,0.0,5.0,10692.0,1486379.0,952614.0,2090276,2021-11-14 09:07:37.423111,,,9637,49,9585,542641,1486379,952614,2021-11-14 09:07:37.422419,67936000,2021-11-14 09:07:37.423494,,,826465,10087,816179,31008555,44820965,26521835
2021-11-02,GJ,30,0,27,44453,41753,254925,0,163.0,2.0,133.0,318099.0,44820965.0,26521835.0,Aravalli,0,0,0,,77,3035,0,0.0,0.0,0.0,3311.0,718156.0,529287.0,1051746,2021-11-14 09:07:37.423111,,,5186,78,5108,362242,718156,529287,2021-11-14 09:07:37.422419,67936000,2021-11-14 09:07:37.423494,,,826465,10087,816179,31008555,44820965,26521835
2021-11-02,GJ,30,0,27,44453,41753,254925,0,163.0,2.0,133.0,318099.0,44820965.0,26521835.0,Banaskantha,0,0,0,,1790,24790,0,0.0,0.0,0.0,16527.0,2145241.0,1206907.0,3116045,2021-11-14 09:07:37.423111,,,13631,162,13469,846527,2145241,1206907,2021-11-14 09:07:37.422419,67936000,2021-11-14 09:07:37.423494,,,826465,10087,816179,31008555,44820965,26521835
2021-11-02,GJ,30,0,27,44453,41753,254925,0,163.0,2.0,133.0,318099.0,44820965.0,26521835.0,Bharuch,0,0,0,,1690,6744,0,0.0,0.0,0.0,5857.0,1222160.0,684882.0,1550822,2021-11-14 09:07:37.423111,,,11426,118,11308,514372,1222160,684882,2021-11-14 09:07:37.422419,67936000,2021-11-14 09:07:37.423494,,,826465,10087,816179,31008555,44820965,26521835
2021-11-02,GJ,30,0,27,44453,41753,254925,0,163.0,2.0,133.0,318099.0,44820965.0,26521835.0,Bhavnagar,0,0,2,,1681,8183,0,1.0,0.0,2.0,9257.0,1684036.0,1005064.0,2877961,2021-11-14 09:07:37.423111,,,21447,301,21145,1194179,1684036,1005064,2021-11-14 09:07:37.422419,67936000,2021-11-14 09:07:37.423494,,,826465,10087,816179,31008555,44820965,26521835
2021-11-02,GJ,30,0,27,44453,41753,254925,0,163.0,2.0,133.0,318099.0,44820965.0,26521835.0,Botad,0,0,0,,144,2461,0,0.0,0.0,0.0,1916.0,378516.0,233999.0,656005,2021-11-14 09:07:37.423111,,,2218,42,2176,254381,378516,233999,2021-11-14 09:07:37.422419,67936000,2021-11-14 09:07:37.423494,,,826465,10087,816179,31008555,44820965,26521835
2021-11-02,GJ,30,0,27,44453,41753,254925,0,163.0,2.0,133.0,318099.0,44820965.0,26521835.0,Chhota Udaipur,0,0,0,,36,5740,0,0.0,0.0,0.0,3900.0,635787.0,430820.0,1071831,2021-11-14 09:07:37.423111,,,3395,38,3357,267118,635787,430820,2021-11-14 09:07:37.422419,67936000,2021-11-14 09:07:37.423494,,,826465,10087,816179,31008555,44820965,26521835
2021-11-02,GJ,30,0,27,44453,41753,254925,0,163.0,2.0,133.0,318099.0,44820965.0,26521835.0,Dahod,0,0,0,,81,16573,0,0.0,0.0,0.0,10382.0,1499234.0,665965.0,2126558,2021-11-14 09:07:37.423111,,,9955,38,9917,706617,1499234,665965,2021-11-14 09:07:37.422419,67936000,2021-11-14 09:07:37.423494,,,826465,10087,816179,31008555,44820965,26521835
2021-11-02,GJ,30,0,27,44453,41753,254925,0,163.0,2.0,133.0,318099.0,44820965.0,26521835.0,Dang,0,0,0,,139,38,0,0.0,0.0,0.0,710.0,156644.0,59399.0,226769,2021-11-14 09:07:37.423111,,,866,18,848,83439,156644,59399,2021-11-14 09:07:37.422419,67936000,2021-11-14 09:07:37.423494,,,826465,10087,816179,31008555,44820965,26521835
