Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-11-02,ML,East Garo Hills,,,,1867,13,1844,,2021-11-03 09:49:15.638289,,,,83685,1452,81807,
2021-11-02,ML,East Jaintia Hills,,,,2430,31,2395,,2021-11-03 09:49:15.638289,,,,83685,1452,81807,
2021-11-02,ML,East Khasi Hills,,,,41025,987,39754,,2021-11-03 09:49:15.638289,,,,83685,1452,81807,
2021-11-02,ML,North Garo Hills,,,,1685,8,1674,,2021-11-03 09:49:15.638289,,,,83685,1452,81807,
2021-11-02,ML,Ribhoi,,,,,,,,2021-11-03 09:49:15.638289,,,,83685,1452,81807,
2021-11-02,ML,South Garo Hills,,,,1216,12,1203,,2021-11-03 09:49:15.638289,,,,83685,1452,81807,
2021-11-02,ML,South West Garo Hills,,,,1872,17,1852,,2021-11-03 09:49:15.638289,,,,83685,1452,81807,
2021-11-02,ML,South West Khasi Hills,,,,2548,17,2525,,2021-11-03 09:49:15.638289,,,,83685,1452,81807,
2021-11-02,ML,West Garo Hills,,,,9027,72,8943,,2021-11-03 09:49:15.638289,,,,83685,1452,81807,
2021-11-02,ML,West Jaintia Hills,,,,6803,133,6642,,2021-11-03 09:49:15.638289,,,,83685,1452,81807,
2021-11-02,ML,West Khasi Hills,,,,5457,71,5330,,2021-11-03 09:49:15.638289,,,,83685,1452,81807,
2021-11-02,ML,Unknown,,,,58,2,61,,2021-11-03 09:49:15.638289,,,,83685,1452,81807,
