Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-02,RJ,4,0,1,15318,27060,104848,0,954426.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Ajmer,0,0,0,513,974,5468,0,37768.0,410.0,37352.0,457393.0,1750980.0,1033395.0,2584913,2021-11-02 18:00,https://twitter.com/dineshkumawat,,37769,410,37353,605511,1754158,1053163,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,954440,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Alwar,0,0,0,1087,1044,2150,0,59694.0,307.0,59387.0,812480.0,2235537.0,1025485.0,3671999,2021-11-02 18:00,https://twitter.com/dineshkumawat,,59694,307,59387,1204900,2240203,1034487,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Banswara,0,0,0,623,4741,10532,0,5754.0,59.0,5694.0,,,,1798194,2021-11-02 18:00,https://twitter.com/dineshkumawat,,10005,104,9901,217223,1031485,540502,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Baran,0,0,0,324,856,2939,0,11143.0,79.0,11063.0,106451.0,874409.0,394877.0,1223921,2021-11-02 18:00,https://twitter.com/dineshkumawat,,11996,61,11934,150190,765176,304342,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Barmer,0,0,0,278,2444,5241,0,14034.0,132.0,13901.0,203997.0,1159507.0,484265.0,2604453,2021-11-02 18:00,https://twitter.com/dineshkumawat,,15563,185,15377,322943,1462638,638505,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Bharatpur,0,0,0,370,732,2925,0,17870.0,228.0,17642.0,265048.0,1394828.0,601093.0,2549121,2021-11-02 18:00,https://twitter.com/dineshkumawat,,19601,260,19341,378815,1352363,594842,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Bhilwara,0,0,0,394,70,750,0,25418.0,201.0,25218.0,301653.0,1449104.0,661928.0,2410459,2021-11-02 18:00,https://twitter.com/dineshkumawat,,29781,156,29625,377626,1525666,725925,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Bikaner,0,0,0,462,375,1109,0,35815.0,378.0,35435.0,396945.0,1487694.0,714549.0,2367745,2021-11-02 18:00,https://twitter.com/dineshkumawat,,40343,545,39792,583926,1461928,717213,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Bundi,0,0,0,286,1927,3273,0,21841.0,261.0,21578.0,215490.0,1030584.0,510737.0,1113725,2021-11-02 18:00,https://twitter.com/dineshkumawat,,7967,48,7919,168834,712839,369214,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Chittorgarh,0,0,0,314,379,4665,0,14734.0,100.0,14634.0,224791.0,861792.0,428253.0,1544392,2021-11-02 18:00,https://twitter.com/dineshkumawat,,19809,139,19670,350362,979893,492722,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Churu,0,0,0,242,542,2937,0,18044.0,121.0,17923.0,225396.0,1162554.0,536196.0,2041172,2021-11-02 18:00,https://twitter.com/dineshkumawat,,16720,107,16613,308025,1303296,591235,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Dausa,0,0,0,246,375,2263,0,14795.0,81.0,14714.0,171466.0,1095066.0,471947.0,1637226,2021-11-02 18:00,https://twitter.com/dineshkumawat,,13351,62,13289,201738,942332,401177,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Dholpur,0,0,0,244,369,1397,0,12013.0,54.0,11959.0,151575.0,779863.0,325446.0,1207293,2021-11-02 18:00,https://twitter.com/dineshkumawat,,11010,48,10962,219435,660803,282203,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Dungarpur,0,0,0,119,572,1837,0,15237.0,95.0,15141.0,188097.0,703485.0,317790.0,1388906,2021-11-02 18:00,https://twitter.com/dineshkumawat,,18407,131,18276,238397,738363,353679,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Ganganagar,0,0,0,375,789,3321,0,18948.0,142.0,18806.0,236823.0,1045429.0,446472.0,1969520,2021-11-02 18:00,https://twitter.com/dineshkumawat,,19355,150,19203,323678,1280699,531632,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Hanumangarh,0,0,0,419,954,9982,0,9199.0,63.0,9136.0,,,,1779650,2021-11-02 18:00,https://twitter.com/dineshkumawat,,16053,111,15942,359630,1231585,599243,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Jaipur,4,0,1,2306,1828313,880821,0,115610.0,1190.0,114410.0,1443961.0,3164576.0,1470336.0,6663971,2021-11-02 18:00,https://twitter.com/dineshkumawat,,187808,1970,185817,2470721,4587748,2201640,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Jaisalmer,0,0,0,174,64,161,0,14674.0,85.0,14588.0,150251.0,764350.0,359365.0,672008,2021-11-02 18:00,https://twitter.com/dineshkumawat,,13639,66,13573,201300,416247,195103,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Jalore,0,0,0,345,341,1361,0,5753.0,41.0,5712.0,,,,1830151,2021-11-02 18:00,https://twitter.com/dineshkumawat,,10067,72,9995,366989,988511,396957,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Jhalawar,0,0,0,13,42,363,0,88264.0,951.0,87306.0,567840.0,2488824.0,1139235.0,1411327,2021-11-02 18:00,https://twitter.com/dineshkumawat,,13612,187,13425,267618,922894,365368,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
2021-11-02,RJ,-944896,0,1,15318,27060,104848,0,819441.0,8954.0,945441.0,14791072.0,42506575.0,19970720.0,Jhunjhunu,0,0,0,520,729,7931,0,14309.0,119.0,14190.0,238339.0,1005922.0,529836.0,2139658,2021-11-02 18:00,https://twitter.com/dineshkumawat,,14811,158,14653,357941,1451292,800672,2021-11-03 09:50,77264000,2021-11-02 18:00,https://twitter.com/dineshkumawat,,9540,8954,945446,14827261,42601235,20308791
