,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,2021-11-03,CT,25,3,27,0,24392,47769,0,195.0,8.0,160.0,,259929.0,429629.0,Balod,0,0,0,,437,821,0,4.0,0.0,0.0,,4501.0,7164.0,826165,2021-11-03 08:00,https://twitter.com/HealthCgGov,,27280,396,26880,,538686,273778,2021-11-03 18:06,28724000,2021-11-03 08:00,https://twitter.com/HealthCgGov,,1006121,13583,992248,,14917014,7473224,0,0,0,0,0
1,1,1,1,2021-11-03,CT,25,3,27,0,24392,47769,0,195.0,8.0,160.0,,259929.0,429629.0,Baloda Bazar,0,0,0,,59,109,0,0.0,0.0,3.0,,11495.0,7488.0,1305343,2021-11-03 08:00,https://twitter.com/HealthCgGov,,43085,471,42612,,617977,212350,2021-11-03 18:06,28724000,2021-11-03 08:00,https://twitter.com/HealthCgGov,,1006121,13583,992248,,14917014,7473224,0,0,0,0,0
2,2,2,2,2021-11-03,CT,25,3,27,0,24392,47769,0,195.0,8.0,160.0,,259929.0,429629.0,Balrampur,0,0,0,,1739,1231,0,0.0,0.0,2.0,,18875.0,12145.0,598855,2021-11-03 08:00,https://twitter.com/HealthCgGov,,20302,118,20184,,309194,115115,2021-11-03 18:06,28724000,2021-11-03 08:00,https://twitter.com/HealthCgGov,,1006121,13583,992248,,14917014,7473224,0,0,0,0,0
3,3,3,3,2021-11-03,CT,25,3,27,0,24392,47769,0,195.0,8.0,160.0,,259929.0,429629.0,Bametara,0,0,0,,217,133,0,2.0,0.0,0.0,,5293.0,3033.0,197035,2021-11-03 08:00,https://twitter.com/HealthCgGov,,19964,236,19726,,405879,133287,2021-11-03 18:06,28724000,2021-11-03 08:00,https://twitter.com/HealthCgGov,,1006121,13583,992248,,14917014,7473224,0,0,0,0,0
4,4,4,4,2021-11-03,CT,25,3,27,0,24392,47769,0,195.0,8.0,160.0,,259929.0,429629.0,Bastar,3,0,3,,1052,857,0,13.0,0.0,10.0,,6118.0,5420.0,1302253,2021-11-03 08:00,https://twitter.com/HealthCgGov,,21069,188,20853,,445443,180377,2021-11-03 18:06,28724000,2021-11-03 08:00,https://twitter.com/HealthCgGov,,1006121,13583,992248,,14917014,7473224,0,0,0,0,0
5,5,5,5,2021-11-03,CT,25,3,27,0,24392,47769,0,195.0,8.0,160.0,,259929.0,429629.0,Bijapur,0,0,0,,55,74,0,5.0,0.0,2.0,,709.0,575.0,229832,2021-11-03 08:00,https://twitter.com/HealthCgGov,,8324,55,8264,,103397,44387,2021-11-03 18:06,28724000,2021-11-03 08:00,https://twitter.com/HealthCgGov,,1006121,13583,992248,,14917014,7473224,0,0,0,0,0
6,6,6,6,2021-11-03,CT,25,3,27,0,24392,47769,0,195.0,8.0,160.0,,259929.0,429629.0,Bilaspur,3,0,1,,902,4604,0,16.0,2.0,10.0,,16077.0,53144.0,1961922,2021-11-03 08:00,https://twitter.com/HealthCgGov,,65688,1211,64452,,1036923,546105,2021-11-03 18:06,28724000,2021-11-03 08:00,https://twitter.com/HealthCgGov,,1006121,13583,992248,,14917014,7473224,0,0,0,0,0
7,7,7,7,2021-11-03,CT,25,3,27,0,24392,47769,0,195.0,8.0,160.0,,259929.0,429629.0,Dakshin Bastar Dantewada,1,0,0,,172,191,0,9.0,0.0,2.0,,2026.0,5936.0,533638,2021-11-03 08:00,https://twitter.com/HealthCgGov,,10847,25,10809,,158825,82852,2021-11-03 18:06,28724000,2021-11-03 08:00,https://twitter.com/HealthCgGov,,1006121,13583,992248,,14917014,7473224,0,0,0,0,0
8,8,8,8,2021-11-03,CT,25,3,27,0,24392,47769,0,195.0,8.0,160.0,,259929.0,429629.0,Dhamtari,0,0,2,,143,361,0,1.0,0.0,4.0,,2601.0,3352.0,799199,2021-11-03 08:00,https://twitter.com/HealthCgGov,,27239,545,26692,,510035,225213,2021-11-03 18:06,28724000,2021-11-03 08:00,https://twitter.com/HealthCgGov,,1006121,13583,992248,,14917014,7473224,0,0,0,0,0
9,9,9,9,2021-11-03,CT,25,3,27,0,24392,47769,0,195.0,8.0,160.0,,259929.0,429629.0,Durg,1,0,5,,216,584,0,26.0,0.0,35.0,,7808.0,12567.0,3343079,2021-11-03 08:00,https://twitter.com/HealthCgGov,,96890,1798,95051,,1013114,527287,2021-11-03 18:06,28724000,2021-11-03 08:00,https://twitter.com/HealthCgGov,,1006121,13583,992248,,14917014,7473224,0,0,0,0,0
