Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-03,ML,22,0,53,0,1816,5971,0,268.0,8.0,386.0,,9019.0,39516.0,East Garo Hills,0,0,1,,97,370,0,5.0,0.0,7.0,,499.0,1629.0,317618,,,,1868,13,1849,,47918,21606,2021-11-05T15:48:11.179936+05:30,3224000,,,,83734,1456,81897,,1108260,661881
2021-11-03,ML,22,0,53,0,1816,5971,0,268.0,8.0,386.0,,9019.0,39516.0,East Jaintia Hills,0,0,1,,8,121,0,5.0,0.0,3.0,,349.0,2240.0,122436,,,,2433,31,2397,,64570,34301,2021-11-05T15:48:11.179936+05:30,3224000,,,,83734,1456,81897,,1108260,661881
2021-11-03,ML,22,0,53,0,1816,5971,0,268.0,8.0,386.0,,9019.0,39516.0,East Khasi Hills,17,0,27,,343,1314,0,188.0,5.0,232.0,,2016.0,9529.0,824059,,,,41112,990,39857,,319336,229866,2021-11-05T15:48:11.179936+05:30,3224000,,,,83734,1456,81897,,1108260,661881
2021-11-03,ML,22,0,53,0,1816,5971,0,268.0,8.0,386.0,,9019.0,39516.0,North Garo Hills,0,0,0,,136,638,0,3.0,0.0,1.0,,728.0,3402.0,118325,,,,1686,8,1674,,63083,30075,2021-11-05T15:48:11.179936+05:30,3224000,,,,83734,1456,81897,,1108260,661881
2021-11-03,ML,22,0,53,0,1816,5971,0,268.0,8.0,386.0,,9019.0,39516.0,Ri-Bhoi,0,0,1,,0,0,0,,,,,,,0,,,,9697,89,9593,,0,0,2021-11-05T15:48:11.179936+05:30,3224000,,,,83734,1456,81897,,1108260,661881
2021-11-03,ML,22,0,53,0,1816,5971,0,268.0,8.0,386.0,,9019.0,39516.0,South Garo Hills,0,0,1,,98,149,0,-8470.0,-77.0,-8367.0,,-51360.0,-27517.0,142574,,,,1216,12,1204,,40285,19344,2021-11-05T15:48:11.179936+05:30,3224000,,,,83734,1456,81897,,1108260,661881
2021-11-03,ML,22,0,53,0,1816,5971,0,268.0,8.0,386.0,,9019.0,39516.0,South West Garo Hills,0,0,0,,526,1018,0,656.0,6.0,650.0,,34337.0,23352.0,172495,,,,1872,18,1852,,74288,41706,2021-11-05T15:48:11.179936+05:30,3224000,,,,83734,1456,81897,,1108260,661881
2021-11-03,ML,22,0,53,0,1816,5971,0,268.0,8.0,386.0,,9019.0,39516.0,South West Khasi Hills,0,0,0,,33,106,0,680.0,0.0,675.0,,-39495.0,-19659.0,110152,,,,2549,17,2525,,33461,17562,2021-11-05T15:48:11.179936+05:30,3224000,,,,83734,1456,81897,,1108260,661881
2021-11-03,ML,22,0,53,0,1816,5971,0,268.0,8.0,386.0,,9019.0,39516.0,West Garo Hills,2,0,2,,270,1049,0,6485.0,55.0,6422.0,,177165.0,106963.0,642923,,,,9031,72,8947,,210518,123809,2021-11-05T15:48:11.179936+05:30,3224000,,,,83734,1456,81897,,1108260,661881
2021-11-03,ML,22,0,53,0,1816,5971,0,268.0,8.0,386.0,,9019.0,39516.0,West Jaintia Hills,1,0,3,,40,303,0,-2216.0,63.0,-2293.0,,-124071.0,-66392.0,270352,,,,6805,135,6646,,84876,49567,2021-11-05T15:48:11.179936+05:30,3224000,,,,83734,1456,81897,,1108260,661881
2021-11-03,ML,22,0,53,0,1816,5971,0,268.0,8.0,386.0,,9019.0,39516.0,West Khasi Hills,2,0,17,,81,293,0,-1332.0,-62.0,-1275.0,,-7038.0,-2083.0,385601,,,,5465,71,5353,,77261,43887,2021-11-05T15:48:11.179936+05:30,3224000,,,,83734,1456,81897,,1108260,661881
