,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-11-03,UP,Agra,,,,25765,457,25308,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
1,2021-11-03,UP,Aligarh,,,,21280,108,21172,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
2,2021-11-03,UP,Ambedkar Nagar,,,,5040,152,4885,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
3,2021-11-03,UP,Amethi,,,,9972,143,9829,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
4,2021-11-03,UP,Amroha,,,,16616,203,16413,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
5,2021-11-03,UP,Auraiya,,,,10091,203,9887,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
6,2021-11-03,UP,Ayodhya,,,,16919,290,16629,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
7,2021-11-03,UP,Azamgarh,,,,17906,228,17676,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
8,2021-11-03,UP,Baghpat,,,,9132,141,8991,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
9,2021-11-03,UP,Bahraich,,,,11549,178,11371,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
10,2021-11-03,UP,Ballia,,,,21610,234,21376,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
11,2021-11-03,UP,Balrampur,,,,7495,138,7354,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
12,2021-11-03,UP,Banda,,,,10992,158,10832,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
13,2021-11-03,UP,Barabanki,,,,19850,225,19624,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
14,2021-11-03,UP,Bareilly,,,,44028,377,43650,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
15,2021-11-03,UP,Basti,,,,11718,330,11385,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
16,2021-11-03,UP,Bhadohi,,,,7720,163,7557,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
17,2021-11-03,UP,Bijnor,,,,14794,126,14668,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
18,2021-11-03,UP,Budaun,,,,14941,98,14843,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
19,2021-11-03,UP,Bulandshahr,,,,20215,243,19972,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
20,2021-11-03,UP,Chandauli,,,,16208,356,15852,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
21,2021-11-03,UP,Chitrakoot,,,,7110,79,7031,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
22,2021-11-03,UP,Deoria,,,,20223,220,20003,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
23,2021-11-03,UP,Etah,,,,9968,99,9869,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
24,2021-11-03,UP,Etawah,,,,13933,293,13640,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
25,2021-11-03,UP,Farrukhabad,,,,10348,194,10153,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
26,2021-11-03,UP,Fatehpur,,,,6814,139,6674,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
27,2021-11-03,UP,Firozabad,,,,8721,135,8585,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
28,2021-11-03,UP,Gautam Buddha Nagar,,,,63356,467,62882,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
29,2021-11-03,UP,Ghaziabad,,,,55673,461,55207,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
30,2021-11-03,UP,Ghazipur,,,,21642,282,21359,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
31,2021-11-03,UP,Gonda,,,,12282,266,12016,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
32,2021-11-03,UP,Gorakhpur,,,,59439,848,58588,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
33,2021-11-03,UP,Hamirpur,,,,5232,102,5130,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
34,2021-11-03,UP,Hapur,,,,12638,217,12421,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
35,2021-11-03,UP,Hardoi,,,,13756,349,13406,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
36,2021-11-03,UP,Hathras,,,,2920,43,2877,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
37,2021-11-03,UP,Jalaun,,,,11687,202,11482,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
38,2021-11-03,UP,Jaunpur,,,,22584,235,22349,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
39,2021-11-03,UP,Jhansi,,,,36556,663,35892,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
40,2021-11-03,UP,Kannauj,,,,9231,115,9114,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
41,2021-11-03,UP,Kanpur Dehat,,,,6197,110,6087,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
42,2021-11-03,UP,Kanpur Nagar,,,,82933,1905,81025,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
43,2021-11-03,UP,Kasganj,,,,4250,53,4197,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
44,2021-11-03,UP,Kaushambi,,,,4424,70,4353,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
45,2021-11-03,UP,Kushinagar,,,,15617,228,15389,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
46,2021-11-03,UP,Lakhimpur Kheri,,,,24410,292,24117,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
47,2021-11-03,UP,Lalitpur,,,,12742,128,12613,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
48,2021-11-03,UP,Lucknow,,,,238841,2651,236167,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
49,2021-11-03,UP,Maharajganj,,,,12440,140,12300,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
50,2021-11-03,UP,Mahoba,,,,4268,86,4182,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
51,2021-11-03,UP,Mainpuri,,,,10028,182,9846,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
52,2021-11-03,UP,Mathura,,,,20297,402,19894,,2021-11-04 22:13:49.475906,,,,1710174,22902,1687167,
