Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Amritsar,0.0,0.0,0.0,,72,65,0,19.0,0.0,16.0,,9530.0,9092.0,2490891,,,,47388,1598,45769,,1266866,450933,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Barnala,0.0,0.0,0.0,,95,36,0,1.0,0.0,3.0,,6690.0,3772.0,596294,,,,5950,244,5699,,331285,105997,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Bathinda,0.0,0.0,0.0,,6,6,0,6.0,0.0,5.0,,5029.0,4490.0,1388859,,,,41729,1042,40669,,626486,204676,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Faridkot,0.0,0.0,0.0,,2,2,0,4.0,0.0,9.0,,1717.0,2974.0,618008,,,,13927,315,13606,,331478,130207,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Fatehgarh Sahib,0.0,0.0,0.0,,2,12,0,3.0,0.0,1.0,,1825.0,3660.0,599814,,,,8878,335,8539,,356085,137726,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Fazilka,0.0,0.0,0.0,,40,33,0,7.0,0.0,7.0,,3064.0,3224.0,1180483,,,,20273,528,19735,,491488,133304,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Ferozepur,0.0,0.0,0.0,,56,20,0,8.0,0.0,10.0,,2616.0,3284.0,2026831,,,,14350,504,13836,,478013,130277,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Gurdaspur,0.0,0.0,0.0,,98,170,0,1.0,1.0,2.0,,12852.0,19476.0,2299026,,,,22381,801,21578,,868628,426101,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Hoshiarpur,0.0,0.0,0.0,,0,10,0,12.0,2.0,5.0,,3449.0,10583.0,1582793,,,,30829,986,29829,,1002171,579682,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Jalandhar,0.0,0.0,0.0,,35,107,0,15.0,0.0,16.0,,7486.0,14645.0,2181753,,,,63405,1496,61877,,1437129,689273,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Kapurthala,0.0,0.0,0.0,,9,8,0,3.0,0.0,3.0,,2674.0,3690.0,817668,,,,17854,556,17294,,466564,189401,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Ludhiana,0.0,0.0,0.0,,57,58,0,9.0,0.0,18.0,,18818.0,18049.0,3487882,,,,87613,2106,85486,,2480787,951590,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Mansa,0.0,0.0,0.0,,130,52,0,0.0,0.0,1.0,,3093.0,3375.0,768808,,,,15606,380,15226,,374248,91834,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
2021-11-04,PB,0.0,0.0,0.0,0,878,772,0,146.0,6.0,150.0,,108368.0,146307.0,Moga,0.0,0.0,0.0,,2,1,0,2.0,0.0,8.0,,2422.0,3742.0,992289,,,,8677,233,8441,,542645,180866,2021-11-06 17:29:22.734131,29859000,,,,602466,16562,585664,,15993491,6315221
