Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-11-04,UT,Almora,,,,12191,196,11378,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Bageshwar,,,,5764,60,5678,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Chamoli,,,,12242,62,11972,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Champawat,,,,7603,53,7358,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Dehradun,,,,112374,3521,108149,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Haridwar,,,,51501,1019,49097,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Nainital,,,,39235,944,38146,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Pauri Garhwal,,,,17686,315,16670,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Pithoragarh,,,,10262,182,9964,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Rudraprayag,,,,8800,106,8535,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Tehri Garhwal,,,,15835,108,14827,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Udham Singh Nagar,,,,37876,761,36315,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Uttarkashi,,,,12549,74,12129,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
2021-11-04,UT,Unknown,,,,0,0,6150,,2021-11-04 15:33:55.564938,,,,343918,7401,336368,
