,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-11-04,JK,Anantnag,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
1,2021-11-04,JK,Bandipora,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
2,2021-11-04,JK,Baramulla,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
3,2021-11-04,JK,Budgam,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
4,2021-11-04,JK,Doda,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
5,2021-11-04,JK,Ganderbal,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
6,2021-11-04,JK,Jammu,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
7,2021-11-04,JK,Kathua,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
8,2021-11-04,JK,Kishtwar,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
9,2021-11-04,JK,Kulgam,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
10,2021-11-04,JK,Kupwara,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
11,2021-11-04,JK,Mirpur,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
12,2021-11-04,JK,Muzaffarabad,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
13,2021-11-04,JK,Pulwama,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
14,2021-11-04,JK,Punch,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
15,2021-11-04,JK,Rajouri,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
16,2021-11-04,JK,Ramban,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
17,2021-11-04,JK,Reasi,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
18,2021-11-04,JK,Samba,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
19,2021-11-04,JK,Shopiyan,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
20,2021-11-04,JK,Srinagar,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
21,2021-11-04,JK,Udhampur,,,,,,,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
22,2021-11-04,JK,Unknown,,,,332651,4438,327232,,2021-11-05 18:28:25.869921,,,,332651,4438,327232,
