,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-11-04,NL,Others,,,,,,,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
1,2021-11-04,NL,Dimapur,,,,,,,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
2,2021-11-04,NL,Kiphire,,,,,,,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
3,2021-11-04,NL,Kohima,,,,,,,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
4,2021-11-04,NL,Longleng,,,,,,,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
5,2021-11-04,NL,Mokokchung,,,,,,,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
6,2021-11-04,NL,Mon,,,,,,,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
7,2021-11-04,NL,Peren,,,,,,,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
8,2021-11-04,NL,Phek,,,,,,,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
9,2021-11-04,NL,Tuensang,,,,,,,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
10,2021-11-04,NL,Wokha,,,,,,,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
11,2021-11-04,NL,Zunheboto,,,,,,,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
12,2021-11-04,NL,Unknown,,,,31894,687,31012,,2021-11-05 18:28:25.869921,,,,31894,687,31012,
