,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Adilabad,,,,,478,300,0,,,,,,,708952,,,,,,,,381324,93784,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
1,1,1,1,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Bhadradri Kothagudem,,,,,3209,4295,0,,,,,,,1304811,,,,,,,,612990,223331,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
2,2,2,2,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Foreign Evacuees,,,,,0,0,0,,,,,,,0,,,,,,,,0,0,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
3,3,3,3,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Hyderabad,,,,,5714,13710,0,,,,,,,3441992,,,,,,,,3177256,1941263,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
4,4,4,4,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Jagtial,,,,,2918,1626,0,,,,,,,983414,,,,,,,,601345,198110,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
5,5,5,5,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Jangaon,,,,,1567,750,0,,,,,,,582457,,,,,,,,343319,132506,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
6,6,6,6,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Jayashankar Bhupalapally,,,,,1280,1424,0,,,,,,,712257,,,,,,,,266579,136908,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
7,7,7,7,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Jogulamba Gadwal,,,,,871,402,0,,,,,,,664971,,,,,,,,315168,62634,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
8,8,8,8,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Kamareddy,,,,,1374,2423,0,,,,,,,972625,,,,,,,,565001,193447,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
9,9,9,9,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Karimnagar,,,,,2327,6619,0,,,,,,,1016063,,,,,,,,665236,413214,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
10,10,10,10,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Khammam,,,,,8814,10550,0,,,,,,,1401639,,,,,,,,898391,386364,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
11,11,11,11,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Komaram Bheem,,,,,1050,422,0,,,,,,,515835,,,,,,,,283357,53686,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
12,12,12,12,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Mahabubabad,,,,,4286,3120,0,,,,,,,1318110,,,,,,,,485903,185927,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
13,13,13,13,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Mahabubnagar,,,,,2526,1408,0,,,,,,,0,,,,,,,,497970,156499,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
14,14,14,14,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Mancherial,,,,,2072,1673,0,,,,,,,807037,,,,,,,,492155,177185,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
15,15,15,15,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Medak,,,,,3459,5217,0,,,,,,,767428,,,,,,,,474865,162759,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
16,16,16,16,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Medchal Malkajgiri,,,,,5237,9347,0,,,,,,,2542203,,,,,,,,2178008,1359011,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
17,17,17,17,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Mulugu,,,,,493,1632,0,,,,,,,294671,,,,,,,,188250,83097,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
18,18,18,18,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Nagarkurnool,,,,,3620,508,0,,,,,,,893308,,,,,,,,487672,108645,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
19,19,19,19,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Nalgonda,,,,,14183,6330,0,,,,,,,1631399,,,,,,,,950405,278553,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
20,20,20,20,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Narayanpet,,,,,1253,599,0,,,,,,,566874,,,,,,,,297342,52900,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
