Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Agra,,,,,0,23,0,,,,,11066.0,20047.0,4380793,,,,,,,,2183355,760550,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Aligarh,,,,,99,168,0,,,,,9568.0,15410.0,3673849,,,,,,,,1597162,509952,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Ambedkar Nagar,,,,,87,275,0,,,,,11113.0,19500.0,2398709,,,,,,,,1144062,364327,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Amethi,,,,,77,279,0,,,,,9246.0,19647.0,2549935,,,,,,,,1021948,390393,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Amroha,,,,,73,267,0,,,,,7984.0,12286.0,1838771,,,,,,,,877886,275276,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Auraiya,,,,,21,102,0,,,,,3088.0,6468.0,1372287,,,,,,,,617490,186299,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Ayodhya,,,,,21,61,0,,,,,9049.0,17997.0,2468371,,,,,,,,1278144,431288,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Azamgarh,,,,,3068,5827,0,,,,,26684.0,57340.0,4616509,,,,,,,,2184986,686786,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Baghpat,,,,,53,228,0,,,,,2963.0,11906.0,1302156,,,,,,,,694881,347075,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Bahraich,,,,,45,127,0,,,,,18460.0,46801.0,2384239,,,,,,,,1764577,676730,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Ballia,,,,,1358,3506,0,,,,,10332.0,24865.0,3223642,,,,,,,,1441759,406893,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Balrampur,,,,,165,72,0,,,,,24063.0,13681.0,2149066,,,,,,,,1016304,448207,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Banda,,,,,149,225,0,,,,,17112.0,19170.0,1799541,,,,,,,,807200,249532,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Barabanki,,,,,34,87,0,,,,,23667.0,29745.0,3257983,,,,,,,,1607114,469264,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Bareilly,,,,,301,542,0,,,,,41019.0,26822.0,4465344,,,,,,,,2247190,767975,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Basti,,,,,141,173,0,,,,,16495.0,24323.0,2461056,,,,,,,,1197990,412496,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Bhadohi,,,,,47,40,0,,,,,6204.0,9723.0,1554203,,,,,,,,798286,251776,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Bijnor,,,,,237,518,0,,,,,15661.0,28126.0,3683896,,,,,,,,1768380,620956,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Budaun,,,,,21770,3139,0,,,,,50009.0,19362.0,3712738,,,,,,,,1454643,380532,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
2021-11-05,UP,5,1,8,0,41445,43390,0,52.0,3.0,56.0,,1155464.0,1530047.0,Bulandshahr,,,,,91,734,0,,,,,9095.0,20328.0,3498507,,,,,,,,1655133,662353,2021-11-07 07:58:59.365473,224979000,,,,1710186,22903,1687192,,99039862,33766296
