Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-11-06,HR,Foreign Evacuees,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Ambala,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Bhiwani,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Charkhi Dadri,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Faridabad,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Fatehabad,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Gurugram,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Hisar,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Italians,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Jhajjar,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Jind,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Kaithal,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Karnal,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Kurukshetra,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Mahendragarh,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Nuh,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Palwal,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Panchkula,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Panipat,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Rewari,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Rohtak,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Sirsa,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Sonipat,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Yamunanagar,,,,,,,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
2021-11-06,HR,Unknown,,,,771294,10050,761137,,2021-11-06 17:34:51.627977,,,,771294,10050,761137,
