Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-11-07,TN,Railway Quarantine,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Airport Quarantine,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Other State,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Ariyalur,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Chengalpattu,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Chennai,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Coimbatore,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Cuddalore,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Dharmapuri,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Dindigul,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Erode,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Kallakurichi,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Kancheepuram,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Kanyakumari,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Karur,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Krishnagiri,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Madurai,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Nagapattinam,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Namakkal,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Nilgiris,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Perambalur,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Pudukkottai,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Ramanathapuram,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Ranipet,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Salem,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Sivaganga,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Tenkasi,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Thanjavur,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Theni,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Thiruvallur,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Thiruvarur,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Thoothukkudi,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Tiruchirappalli,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Tirunelveli,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Tirupathur,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Tiruppur,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Tiruvannamalai,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Vellore,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Viluppuram,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Virudhunagar,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Mayiladuthurai,,,,,,,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
2021-11-07,TN,Unknown,,,,2708230,36214,2661428,,2021-11-07 07:27:14.187229,,,,2708230,36214,2661428,
