Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-11-08,AS,Airport Quarantine,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Baksa,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Barpeta,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Biswanath,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Bongaigaon,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Cachar,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Charaideo,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Chirang,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Darrang,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Dhemaji,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Dhubri,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Dibrugarh,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Dima Hasao,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Goalpara,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Golaghat,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Hailakandi,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Hojai,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Jorhat,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Kamrup,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Kamrup Metropolitan,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Karbi Anglong,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Karimganj,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Kokrajhar,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Lakhimpur,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Majuli,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Morigaon,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Nagaon,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Nalbari,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Other State,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Sivasagar,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Sonitpur,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,South Salmara Mankachar,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Tinsukia,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Udalguri,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,West Karbi Anglong,,,,,,,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
2021-11-08,AS,Unknown,,,,612271,6028,602994,,2021-11-08 08:27:48.716612,,,,612271,6028,602994,
