,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2021-11-08,HP,Bilaspur,,,,14463,85,14274,,2021-11-08T22:27:38.098264+05:30,,,,225035,3767,220128,,17,1
1,2021-11-08,HP,Chamba,,,,13697,160,13525,,2021-11-08T22:27:38.098264+05:31,,,,225035,3767,220128,,17,2
2,2021-11-08,HP,Hamirpur,,,,17573,290,17042,,2021-11-08T22:27:38.098264+05:32,,,,225035,3767,220128,,17,1
3,2021-11-08,HP,Kangra,,,,51152,1142,49607,,2021-11-08T22:27:38.098264+05:33,,,,225035,3767,220128,,17,5
4,2021-11-08,HP,Kinnaur,,,,3515,38,3468,,2021-11-08T22:27:38.098264+05:34,,,,225035,3767,220128,,17,0
5,2021-11-08,HP,Kullu,,,,9709,158,9519,,2021-11-08T22:27:38.098264+05:35,,,,225035,3767,220128,,17,2
6,2021-11-08,HP,Lahaul and Spiti,,,,2957,18,2935,,2021-11-08T22:27:38.098264+05:36,,,,225035,3767,220128,,17,0
7,2021-11-08,HP,Mandi,,,,31712,453,31142,,2021-11-08T22:27:38.098264+05:37,,,,225035,3767,220128,,17,0
8,2021-11-08,HP,Shimla,,,,27612,643,26890,,2021-11-08T22:27:38.098264+05:38,,,,225035,3767,220128,,17,4
9,2021-11-08,HP,Sirmaur,,,,15459,211,15244,,2021-11-08T22:27:38.098264+05:39,,,,225035,3767,220128,,17,0
10,2021-11-08,HP,Solan,,,,22827,314,22497,,2021-11-08T22:27:38.098264+05:40,,,,225035,3767,220128,,17,0
11,2021-11-08,HP,Una,,,,14359,255,13985,,2021-11-08T22:27:38.098264+05:41,,,,225035,3767,220128,,17,2
