Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-11-08,NL,Others,,,,,,,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
2021-11-08,NL,Dimapur,,,,,,,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
2021-11-08,NL,Kiphire,,,,,,,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
2021-11-08,NL,Kohima,,,,,,,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
2021-11-08,NL,Longleng,,,,,,,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
2021-11-08,NL,Mokokchung,,,,,,,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
2021-11-08,NL,Mon,,,,,,,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
2021-11-08,NL,Peren,,,,,,,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
2021-11-08,NL,Phek,,,,,,,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
2021-11-08,NL,Tuensang,,,,,,,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
2021-11-08,NL,Wokha,,,,,,,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
2021-11-08,NL,Zunheboto,,,,,,,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
2021-11-08,NL,Unknown,,,,31935,689,31055,,2021-11-08 08:27:48.716612,,,,31935,689,31055,
