Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Airport Quarantine,,,,,0,0,0,,,,,0.0,0.0,0,,,,,,,,0,0,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Baksa,,,,,365,4546,0,,,,,1631.0,17364.0,953773,,,,,,,,556384,160343,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Barpeta,,,,,1310,13228,0,,,,,6143.0,60481.0,1693190,,,,,,,,1103644,524855,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Biswanath,,,,,1079,3117,0,,,,,2111.0,9903.0,612491,,,,,,,,459206,231238,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Bongaigaon,,,,,570,7981,0,,,,,1631.0,26556.0,732639,,,,,,,,496246,226895,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Cachar,,,,,1723,4367,0,,,,,6232.0,14818.0,1736319,,,,,,,,1112322,422634,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Charaideo,,,,,227,2539,0,,,,,653.0,9640.0,0,,,,,,,,310262,125201,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Chirang,,,,,306,2547,0,,,,,1169.0,9122.0,481818,,,,,,,,290509,115092,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Darrang,,,,,752,4458,0,,,,,7256.0,21913.0,908090,,,,,,,,607635,211755,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Dhemaji,,,,,651,5464,0,,,,,2024.0,15680.0,688077,,,,,,,,435062,205535,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Dhubri,,,,,962,6391,0,,,,,4897.0,24633.0,1948632,,,,,,,,952454,262961,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Dibrugarh,,,,,530,7698,0,,,,,3098.0,33122.0,1327748,,,,,,,,919801,477072,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Dima Hasao,,,,,351,710,0,,,,,1638.0,2251.0,213529,,,,,,,,118455,65566,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
2021-11-09,AS,247,3,229,0,26301,186133,0,1587.0,23.0,1995.0,,109415.0,690214.0,Goalpara,,,,,521,7237,0,,,,,1862.0,22412.0,1008959,,,,,,,,665022,227935,2021-11-10 11:48:16.297035,34293000,,,,612798,6034,603463,,20343107,9033811
