Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Bagalkote,0,0,0,,1445,1023,0,,,,,1208721,636490,1890826,,,,35180,333,34842,,1208721,636490,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1845211.0,2468
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Ballari,3,0,1,,2693,9195,0,,,,,1784228,909044,2532383,,,,97774,1686,95976,,1784228,909044,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,2693272.0,11888
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Belagavi,1,1,9,,7016,16635,0,,,,,3203413,1471151,4778439,,,,79923,941,78917,,3203413,1471151,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,4674564.0,23651
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Bengaluru Rural,6,0,3,,567,2972,0,,,,,705319,412961,987257,,,,62027,889,61102,,705319,412961,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1118280.0,3539
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Bengaluru Urban,187,2,106,,8012623,5325932,0,,,,,1242379,781645,9588910,,,,1253177,16298,1230380,,9254267,6103787,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,15358054.0,13338555
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Bidar,0,0,0,,1035,3951,0,24341.428571428572,400.57142857142856,23936.0,,940644,545231,1700018,,,,24342,401,23936,,940644,545231,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1485875.0,4986
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Chamarajanagara,0,0,1,,228,3265,0,,,,,649142,370536,1020962,,,,33008,502,32483,,649142,370536,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1019678.0,3493
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Chikkaballapura,1,0,2,,481,861,0,,,,,856150,517208,1254377,,,,43960,431,43515,,856150,517208,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1373358.0,1342
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Chikkamagaluru,1,0,9,,356,2500,0,,,,,740169,361525,1137753,,,,51145,396,50708,,740169,361525,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1101694.0,2856
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Chitradurga,2,0,3,,4678,4176,0,,,,,1045451,645329,1660378,,,,36686,206,36440,,1045451,645329,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1690780.0,8854
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Dakshina Kannada,21,1,27,,383,2877,0,,,,,1534907,879394,2083625,,,,115603,1681,113779,,1534907,879394,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,2414301.0,3260
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Davanagere,0,0,1,,180,616,0,,,,,1020221,510030,1946905,,,,50992,608,50371,,1020221,510030,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1530251.0,796
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Dharwad,3,0,0,,1568,4256,0,,,,,1227451,594375,1846993,,,,61000,1317,59648,,1227451,594375,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1821826.0,5824
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Gadag,0,0,0,,2534,2535,0,,,,,717340,349883,1065235,,,,26066,319,25747,,717340,349883,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1067223.0,5069
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Hassan,10,0,16,,355,2697,0,,,,,1227991,642794,1776221,,,,111868,1256,110489,,1227991,642794,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1870785.0,3052
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Haveri,0,0,0,,1400,11657,0,,,,,1003730,423245,1598506,,,,21947,643,21303,,1003730,423245,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1426975.0,13057
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Kalaburagi,4,0,3,,2354,4242,0,,,,,1346789,683640,2564892,,,,61938,820,61104,,1346789,683640,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,2030429.0,6596
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Kodagu,0,0,31,,124,1753,0,,,,,387681,233227,554762,,,,37142,329,36744,,387681,233227,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,620908.0,1877
2021-11-09,KA,293,4,323,79996,49062,159460,0,2989743.714285714,38106.71428571428,2943494.0,,42904393.0,24029687.0,Kolar,12,0,18,,2648,3154,0,,,,,1003960,649518,1540231,,,,46956,635,46260,,1003960,649518,2021-11-10T15:47:28.182213+05:30,65798000,2021-11-10T15:47:28.182213+05:30,,,2990528,38122,2944422,51572429,42904393,24029687,66934080.0,208522.0,66934080.0,1653478.0,5802
