Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Angul,0,1,2,,1682,5002,0,43924,395,43518,,802109,329503,1271703,,,,43927,397,43523,,802109,329503,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1131612.0,6684
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Balasore,4,0,16,,5307,10447,0,40827,296,40455,,1402664,607230,2317419,,,,40856,296,40484,,1402664,607230,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,2009894.0,15754
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Bargarh,0,0,4,,6222,6150,0,31129,335,30778,,893454,333937,1478833,,,,31130,335,30786,,893454,333937,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1227391.0,12372
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Bhadrak,4,0,13,,1782,7934,0,26508,146,26302,,1041722,422872,1506522,,,,26520,146,26322,,1041722,422872,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1464594.0,9716
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Balangir,2,0,1,,2867,8335,0,23420,126,23262,,987613,361995,1648574,,,,23428,126,23264,,987613,361995,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1349608.0,11202
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Boudh,0,0,0,,458,2788,0,12636,112,12518,,264228,107687,439917,,,,12637,112,12523,,264228,107687,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,371915.0,3246
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Cuttack,23,0,78,,9112,8632,0,94787,853,93639,,1522412,774668,2618708,,,,94856,854,93756,,1522412,774668,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,2297080.0,17744
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Deogarh,5,0,0,,301,879,0,6556,50,6496,,226838,72568,312164,,,,6562,50,6503,,226838,72568,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,299406.0,1180
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Dhenkanal,1,0,5,,1425,5804,0,19883,243,19615,,751876,316473,1192948,,,,19893,243,19627,,751876,316473,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1068349.0,7229
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Gajapati,10,0,5,,852,1524,0,9671,83,9568,,294195,128216,575880,,,,9690,83,9577,,294195,128216,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,422411.0,2376
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Ganjam,0,0,6,,3436,13192,0,33865,478,33357,,2246616,1820357,3520151,,,,33869,479,33367,,2246616,1820357,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,4066973.0,16628
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Jagatsinghpur,3,0,30,,1822,3877,0,27962,317,27579,,695930,309386,1136604,,,,27979,317,27619,,695930,309386,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1005316.0,5699
