,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-11-10,KA,Bagalkote,,,,35180.0,333.0,34842.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
1,2021-11-10,KA,Ballari,,,,97779.0,1686.0,95978.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
2,2021-11-10,KA,Belagavi,,,,79929.0,941.0,78923.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
3,2021-11-10,KA,Bengaluru Rural,,,,62038.0,890.0,61103.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
4,2021-11-10,KA,Bengaluru Urban,,,,1253353.0,16303.0,1230482.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
5,2021-11-10,KA,Bidar,,,,24342.0,401.0,23936.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
6,2021-11-10,KA,Chamarajanagara,,,,33010.0,502.0,32483.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
7,2021-11-10,KA,Chikkaballapura,,,,43961.0,431.0,43516.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
8,2021-11-10,KA,Chikkamagaluru,,,,51159.0,396.0,50713.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
9,2021-11-10,KA,Chitradurga,,,,36687.0,206.0,36441.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
10,2021-11-10,KA,Dakshina Kannada,,,,115616.0,1683.0,113796.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
11,2021-11-10,KA,Davanagere,,,,50992.0,608.0,50372.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
12,2021-11-10,KA,Dharwad,,,,61000.0,1317.0,59650.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
13,2021-11-10,KA,Gadag,,,,26066.0,319.0,25747.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
14,2021-11-10,KA,Hassan,,,,111897.0,1256.0,110515.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
15,2021-11-10,KA,Haveri,,,,21947.0,643.0,21304.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
16,2021-11-10,KA,Kalaburagi,,,,61940.0,820.0,61105.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
17,2021-11-10,KA,Kodagu,,,,37149.0,329.0,36755.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
18,2021-11-10,KA,Kolar,,,,46960.0,635.0,46265.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
19,2021-11-10,KA,Koppal,,,,35198.0,523.0,34661.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
20,2021-11-10,KA,Mandya,,,,73812.0,654.0,73096.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
21,2021-11-10,KA,Mysuru,,,,179345.0,2417.0,176750.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
22,2021-11-10,KA,Raichur,,,,39978.0,332.0,39642.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
23,2021-11-10,KA,Ramanagara,,,,24211.0,321.0,23875.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
24,2021-11-10,KA,Shivamogga,,,,69471.0,1090.0,68269.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
25,2021-11-10,KA,Tumakuru,,,,120911.0,1132.0,119632.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
26,2021-11-10,KA,Udupi,,,,76778.0,488.0,76239.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
27,2021-11-10,KA,Uttara Kannada,,,,56292.0,771.0,55439.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
28,2021-11-10,KA,Vijayapura,,,,36273.0,495.0,35769.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
29,2021-11-10,KA,Yadgir,,,,27546.0,206.0,27338.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
30,2021-11-10,KA,Others*,,,,36.0,3.0,33.0,,2021-11-10T22:29:43.588155+05:30,,,,2990856.0,38131.0,2944669.0,
