,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-11-10,TN,Ariyalur,,,,16882,261,16585,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
1,2021-11-10,TN,Chengalpattu,,,,172576,2515,169221,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
2,2021-11-10,TN,Chennai,,,,555803,8569,546029,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
3,2021-11-10,TN,Coimbatore,,,,247822,2433,244257,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
4,2021-11-10,TN,Cuddalore,,,,64234,870,63195,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
5,2021-11-10,TN,Dharmapuri,,,,28578,277,28135,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
6,2021-11-10,TN,Dindigul,,,,33142,648,32439,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
7,2021-11-10,TN,Erode,,,,104946,692,103484,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
8,2021-11-10,TN,Kallakurichi,,,,31449,210,31126,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
9,2021-11-10,TN,Kancheepuram,,,,75227,1260,73668,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
10,2021-11-10,TN,Kanyakumari,,,,62550,1050,61287,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
11,2021-11-10,TN,Karur,,,,24291,360,23697,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
12,2021-11-10,TN,Krishnagiri,,,,43694,350,43182,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
13,2021-11-10,TN,Madurai,,,,75321,1178,74008,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
14,2021-11-10,TN,Mayiladuthurai,,,,23318,316,22961,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
15,2021-11-10,TN,Nagapattinam,,,,21168,352,20701,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
16,2021-11-10,TN,Namakkal,,,,52665,502,51695,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
17,2021-11-10,TN,Nilgiris,,,,33743,213,33322,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
18,2021-11-10,TN,Perambalur,,,,12083,244,11819,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
19,2021-11-10,TN,Pudukkottai,,,,30248,417,29744,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
20,2021-11-10,TN,Ramanathapuram,,,,20587,359,20199,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
21,2021-11-10,TN,Ranipet,,,,43495,775,42642,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
22,2021-11-10,TN,Salem,,,,100441,1689,98164,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
23,2021-11-10,TN,Sivaganga,,,,20288,208,19957,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
24,2021-11-10,TN,Tenkasi,,,,27379,485,26862,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
25,2021-11-10,TN,Thanjavur,,,,75683,982,74304,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
26,2021-11-10,TN,Theni,,,,43590,521,43044,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
27,2021-11-10,TN,Tirupathur,,,,29349,626,28660,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
28,2021-11-10,TN,Thiruvallur,,,,119702,1843,117503,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
29,2021-11-10,TN,Tiruvannamalai,,,,55075,668,54275,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
30,2021-11-10,TN,Thiruvarur,,,,41645,449,40975,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
31,2021-11-10,TN,Thoothukkudi,,,,56402,409,55887,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
32,2021-11-10,TN,Tirunelveli,,,,49477,433,48913,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
33,2021-11-10,TN,Tiruppur,,,,96050,983,94383,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
34,2021-11-10,TN,Tiruchirappalli,,,,77866,1061,76424,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
35,2021-11-10,TN,Vellore,,,,49991,1133,48677,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
36,2021-11-10,TN,Viluppuram,,,,45943,356,45484,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
37,2021-11-10,TN,Virudhunagar,,,,46340,548,45733,,2021-11-10T22:51:37.759850+05:30,,,,2711584,36247,2665178,52236972
