Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-11,BR,4,0,6,122450,17229,20982,0,28.0,0.0,37.0,1274323.0,810051.0,1307279.0,Araria,0,0,0,,191,191,0,0.0,0.0,1.0,,34575.0,45610.0,2806200,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,14978,116,14862,,1231959,452490,2021-11-11 16:06:55.000555,119520000,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,726148,9661,716452,52649697,51013684,20131761
2021-11-11,BR,4,0,6,122450,17229,20982,0,28.0,0.0,37.0,1274323.0,810051.0,1307279.0,Arwal,0,0,0,,39,156,0,0.0,0.0,0.0,,1753.0,7460.0,700843,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,7381,74,7307,,347585,127504,2021-11-11 16:06:55.000571,119520000,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,726148,9661,716452,52649697,51013684,20131761
2021-11-11,BR,4,0,6,122450,17229,20982,0,28.0,0.0,37.0,1274323.0,810051.0,1307279.0,Aurangabad,0,0,0,,3642,481,0,0.0,0.0,0.0,,71387.0,37793.0,2511243,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,20011,75,19936,,1214235,458577,2021-11-11 16:06:55.000572,119520000,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,726148,9661,716452,52649697,51013684,20131761
2021-11-11,BR,4,0,6,122450,17229,20982,0,28.0,0.0,37.0,1274323.0,810051.0,1307279.0,Banka,0,0,0,,136,282,0,0.0,0.0,0.0,,10821.0,18574.0,2029339,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,7379,112,7267,,953588,379004,2021-11-11 16:06:55.000574,119520000,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,726148,9661,716452,52649697,51013684,20131761
2021-11-11,BR,4,0,6,122450,17229,20982,0,28.0,0.0,37.0,1274323.0,810051.0,1307279.0,Begusarai,0,0,0,,77,237,0,1.0,0.0,0.0,,12858.0,31932.0,2954367,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,27215,457,26756,,1450379,521931,2021-11-11 16:06:55.000575,119520000,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,726148,9661,716452,52649697,51013684,20131761
2021-11-11,BR,4,0,6,122450,17229,20982,0,28.0,0.0,37.0,1274323.0,810051.0,1307279.0,Bhagalpur,1,0,0,,77,222,0,1.0,0.0,0.0,,17456.0,33935.0,3032226,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,25841,309,25531,,1520241,695226,2021-11-11 16:06:55.000576,119520000,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,726148,9661,716452,52649697,51013684,20131761
2021-11-11,BR,4,0,6,122450,17229,20982,0,28.0,0.0,37.0,1274323.0,810051.0,1307279.0,Bhojpur,0,0,0,,734,796,0,0.0,0.0,0.0,,18463.0,29365.0,2720155,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,10210,159,10051,,1315457,422774,2021-11-11 16:06:55.000577,119520000,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,726148,9661,716452,52649697,51013684,20131761
2021-11-11,BR,4,0,6,122450,17229,20982,0,28.0,0.0,37.0,1274323.0,810051.0,1307279.0,Buxar,0,0,0,,110,323,0,0.0,0.0,0.0,,10384.0,33320.0,1707643,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,9248,182,9066,,921908,366191,2021-11-11 16:06:55.000579,119520000,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,726148,9661,716452,52649697,51013684,20131761
2021-11-11,BR,4,0,6,122450,17229,20982,0,28.0,0.0,37.0,1274323.0,810051.0,1307279.0,Darbhanga,0,0,0,,4019,710,0,2.0,0.0,2.0,,84529.0,43440.0,3921971,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,10940,370,10569,,1966990,808642,2021-11-11 16:06:55.000584,119520000,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,726148,9661,716452,52649697,51013684,20131761
2021-11-11,BR,4,0,6,122450,17229,20982,0,28.0,0.0,37.0,1274323.0,810051.0,1307279.0,East Champaran,0,0,1,,299,1739,0,1.0,0.0,3.0,,11423.0,44860.0,5082868,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,19018,430,18588,,2517661,1072434,2021-11-11 16:06:55.000613,119520000,2021-11-11 16:06:00+05:30,https://twitter.com/BiharHealthDept,,726148,9661,716452,52649697,51013684,20131761
