Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-12,HP,125,3,127,0,3554,71888,0,225185.0,3773.0,220224.0,,5730596.0,3794014.0,Bilaspur,4,0,10,,152,3656,0,14470.0,85.0,14283.0,,323969.0,253389.0,382056,2021-11-11 19:00:00+05:30,https://twitter.com/nhm_hp,,14501,85,14322,,324374,264495,2021-11-12 19:00,7300000,2021-11-12 19:00,https://twitter.com/nhm_hp,,225589,3786,220663,,5740099,3993868
2021-11-12,HP,125,3,127,0,3554,71888,0,225185.0,3773.0,220224.0,,5730596.0,3794014.0,Chamba,4,0,0,,241,4885,0,13699.0,160.0,13524.0,,366408.0,234957.0,518844,2021-11-11 19:00:00+05:30,https://twitter.com/nhm_hp,,13705,160,13528,,367254,250163,2021-11-12 19:00,7300000,2021-11-12 19:00,https://twitter.com/nhm_hp,,225589,3786,220663,,5740099,3993868
2021-11-12,HP,125,3,127,0,3554,71888,0,225185.0,3773.0,220224.0,,5730596.0,3794014.0,Hamirpur,19,0,31,,106,3901,0,17589.0,291.0,17063.0,,378063.0,288423.0,454293,2021-11-11 19:00:00+05:30,https://twitter.com/nhm_hp,,17656,293,17156,,378420,298817,2021-11-12 19:00,7300000,2021-11-12 19:00,https://twitter.com/nhm_hp,,225589,3786,220663,,5740099,3993868
2021-11-12,HP,125,3,127,0,3554,71888,0,225185.0,3773.0,220224.0,,5730596.0,3794014.0,Kangra,53,3,47,,652,12524,0,51212.0,1143.0,49640.0,,1185893.0,789934.0,1507223,2021-11-11 19:00:00+05:30,https://twitter.com/nhm_hp,,51356,1150,49808,,1187555,825027,2021-11-12 19:00,7300000,2021-11-12 19:00,https://twitter.com/nhm_hp,,225589,3786,220663,,5740099,3993868
2021-11-12,HP,125,3,127,0,3554,71888,0,225185.0,3773.0,220224.0,,5730596.0,3794014.0,Kinnaur,0,0,4,,4,47,0,3517.0,38.0,3470.0,,79726.0,63769.0,84298,2021-11-11 19:00:00+05:30,https://twitter.com/nhm_hp,,3518,38,3475,,79749,64041,2021-11-12 19:00,7300000,2021-11-12 19:00,https://twitter.com/nhm_hp,,225589,3786,220663,,5740099,3993868
2021-11-12,HP,125,3,127,0,3554,71888,0,225185.0,3773.0,220224.0,,5730596.0,3794014.0,Kullu,5,0,0,,197,2789,0,9713.0,158.0,9523.0,,352420.0,221017.0,437474,2021-11-11 19:00:00+05:30,https://twitter.com/nhm_hp,,9723,158,9532,,353000,230191,2021-11-12 19:00,7300000,2021-11-12 19:00,https://twitter.com/nhm_hp,,225589,3786,220663,,5740099,3993868
2021-11-12,HP,125,3,127,0,3554,71888,0,225185.0,3773.0,220224.0,,5730596.0,3794014.0,Lahaul and Spiti,4,0,1,,3,19,0,2957.0,18.0,2935.0,,31954.0,21401.0,31528,2021-11-11 19:00:00+05:30,https://twitter.com/nhm_hp,,2961,18,2936,,31975,21560,2021-11-12 19:00,7300000,2021-11-12 19:00,https://twitter.com/nhm_hp,,225589,3786,220663,,5740099,3993868
2021-11-12,HP,125,3,127,0,3554,71888,0,225185.0,3773.0,220224.0,,5730596.0,3794014.0,Mandi,9,0,15,,485,9887,0,31725.0,454.0,31161.0,,776884.0,526461.0,999518,2021-11-11 19:00:00+05:30,https://twitter.com/nhm_hp,,31765,456,31211,,777975,554632,2021-11-12 19:00,7300000,2021-11-12 19:00,https://twitter.com/nhm_hp,,225589,3786,220663,,5740099,3993868
2021-11-12,HP,125,3,127,0,3554,71888,0,225185.0,3773.0,220224.0,,5730596.0,3794014.0,Shimla,8,0,6,,497,10220,0,27625.0,643.0,26893.0,,680551.0,456992.0,813384,2021-11-11 19:00:00+05:30,https://twitter.com/nhm_hp,,27653,645,26918,,681784,479305,2021-11-12 19:00,7300000,2021-11-12 19:00,https://twitter.com/nhm_hp,,225589,3786,220663,,5740099,3993868
2021-11-12,HP,125,3,127,0,3554,71888,0,225185.0,3773.0,220224.0,,5730596.0,3794014.0,Sirmaur,0,0,1,,602,9522,0,15459.0,211.0,15245.0,,425961.0,248366.0,530164,2021-11-11 19:00:00+05:30,https://twitter.com/nhm_hp,,15460,211,15246,,427494,274368,2021-11-12 19:00,7300000,2021-11-12 19:00,https://twitter.com/nhm_hp,,225589,3786,220663,,5740099,3993868
