,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,2021-11-12,ML,44,0,21,0,2302,6998,0,0,212.0,5.0,302.0,,13918.0,44080.0,0.0,East Garo Hills,1,0,1,,302,654,0,0,9.0,1.0,6.0,,1173.0,2714.0,0,317618,,,,1877,14,1855,,49336,25034,0,0,2021-11-13T12:13:29.966413+05:30,3224000,,,,84006,1462,82248,,1125636,718606,0,0,0.0,0
1,1,1,1,2021-11-12,ML,44,0,21,0,2302,6998,0,0,212.0,5.0,302.0,,13918.0,44080.0,0.0,East Jaintia Hills,3,0,2,,128,379,0,0,5.0,1.0,5.0,,627.0,2788.0,0,122436,,,,2438,32,2402,,65384,38307,0,0,2021-11-13T12:13:29.966413+05:30,3224000,,,,84006,1462,82248,,1125636,718606,0,0,0.0,0
2,2,2,2,2021-11-12,ML,44,0,21,0,2302,6998,0,0,212.0,5.0,302.0,,13918.0,44080.0,0.0,East Khasi Hills,32,0,14,,437,1727,0,0,154.0,2.0,206.0,,2136.0,8942.0,0,824059,,,,41306,992,40099,,322029,241332,0,0,2021-11-13T12:13:29.966413+05:30,3224000,,,,84006,1462,82248,,1125636,718606,0,0,0.0,0
3,3,3,3,2021-11-12,ML,44,0,21,0,2302,6998,0,0,212.0,5.0,302.0,,13918.0,44080.0,0.0,North Garo Hills,0,0,0,,146,451,0,0,-1.0,0.0,2.0,,785.0,2985.0,0,118325,,,,1685,8,1677,,64194,34041,0,0,2021-11-13T12:13:29.966413+05:30,3224000,,,,84006,1462,82248,,1125636,718606,0,0,0.0,0
4,4,4,4,2021-11-12,ML,44,0,21,0,2302,6998,0,0,212.0,5.0,302.0,,13918.0,44080.0,0.0,Ri-Bhoi,1,0,0,,0,0,0,0,11.0,0.0,13.0,,0.0,0.0,0,0,,,,9712,90,9607,,0,0,0,0,2021-11-13T12:13:29.966413+05:30,3224000,,,,84006,1462,82248,,1125636,718606,0,0,0.0,0
5,5,5,5,2021-11-12,ML,44,0,21,0,2302,6998,0,0,212.0,5.0,302.0,,13918.0,44080.0,0.0,South Garo Hills,0,0,0,,52,188,0,0,1.0,0.0,0.0,,413.0,1355.0,0,142574,,,,1217,12,1204,,40784,21034,0,0,2021-11-13T12:13:29.966413+05:30,3224000,,,,84006,1462,82248,,1125636,718606,0,0,0.0,0
6,6,6,6,2021-11-12,ML,44,0,21,0,2302,6998,0,0,212.0,5.0,302.0,,13918.0,44080.0,0.0,South West Garo Hills,0,0,0,,364,687,0,0,1.0,0.0,2.0,,2823.0,5087.0,0,172495,,,,1873,18,1854,,77774,47836,0,0,2021-11-13T12:13:29.966413+05:30,3224000,,,,84006,1462,82248,,1125636,718606,0,0,0.0,0
7,7,7,7,2021-11-12,ML,44,0,21,0,2302,6998,0,0,212.0,5.0,302.0,,13918.0,44080.0,0.0,South West Khasi Hills,0,0,0,,60,447,0,0,0.0,0.0,5.0,,274.0,1472.0,0,110152,,,,2549,17,2531,,33820,19517,0,0,2021-11-13T12:13:29.966413+05:30,3224000,,,,84006,1462,82248,,1125636,718606,0,0,0.0,0
8,8,8,8,2021-11-12,ML,44,0,21,0,2302,6998,0,0,212.0,5.0,302.0,,13918.0,44080.0,0.0,West Garo Hills,3,0,2,,241,656,0,0,12.0,0.0,11.0,,2535.0,8952.0,0,642923,,,,9055,72,8958,,213486,134633,0,0,2021-11-13T12:13:29.966413+05:30,3224000,,,,84006,1462,82248,,1125636,718606,0,0,0.0,0
9,9,9,9,2021-11-12,ML,44,0,21,0,2302,6998,0,0,212.0,5.0,302.0,,13918.0,44080.0,0.0,West Jaintia Hills,1,0,1,,178,792,0,0,4.0,0.0,15.0,,923.0,4164.0,0,270352,,,,6809,135,6669,,86123,55428,0,0,2021-11-13T12:13:29.966413+05:30,3224000,,,,84006,1462,82248,,1125636,718606,0,0,0.0,0
