Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-13,AR,4,0,6,519,715,2331,0,55154.0,280.0,54780.0,,776937.0,563200.0,Anjaw,0,0,0,5,3,23,0,1068.0,3.0,1064.0,,11729.0,8171.0,21089,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,1068,3,1065,20935,11737,8245,2021-11-13 17:45:28,1504000,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55216,280,54894,1180704,779021,571704
2021-11-13,AR,4,0,6,519,715,2331,0,55154.0,280.0,54780.0,,776937.0,563200.0,Changlang,2,0,0,8,128,161,0,3806.0,22.0,3783.0,,90231.0,60403.0,147951,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,3809,22,3785,79440,90625,61398,2021-11-13 17:45:28,1504000,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55216,280,54894,1180704,779021,571704
2021-11-13,AR,4,0,6,519,715,2331,0,55154.0,280.0,54780.0,,776937.0,563200.0,East Kameng,0,0,0,0,6,24,0,878.0,1.0,877.0,,17653.0,12496.0,78413,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,1094,0,1094,52766,23085,16612,2021-11-13 17:45:28,1504000,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55216,280,54894,1180704,779021,571704
2021-11-13,AR,4,0,6,519,715,2331,0,55154.0,280.0,54780.0,,776937.0,563200.0,East Siang,1,0,1,36,89,292,0,2610.0,12.0,2593.0,,45479.0,34695.0,99019,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,3218,17,3196,61277,54675,42802,2021-11-13 17:45:28,1504000,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55216,280,54894,1180704,779021,571704
2021-11-13,AR,4,0,6,519,715,2331,0,55154.0,280.0,54780.0,,776937.0,563200.0,Kamle,0,0,0,0,0,0,0,1280.0,5.0,1270.0,,20488.0,14810.0,22256,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,512,0,512,6582,6979,4225,2021-11-13 17:45:28,1504000,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55216,280,54894,1180704,779021,571704
2021-11-13,AR,4,0,6,519,715,2331,0,55154.0,280.0,54780.0,,776937.0,563200.0,Kra Daadi,0,0,0,0,1,45,0,339.0,0.0,339.0,,6479.0,3595.0,0,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,270,0,270,6066,6288,3441,2021-11-13 17:45:28,1504000,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55216,280,54894,1180704,779021,571704
2021-11-13,AR,4,0,6,519,715,2331,0,55154.0,280.0,54780.0,,776937.0,563200.0,Kurung Kumey,0,0,0,0,3,7,0,442.0,1.0,441.0,,8351.0,5227.0,89717,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,511,1,510,9171,9185,6028,2021-11-13 17:45:28,1504000,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55216,280,54894,1180704,779021,571704
2021-11-13,AR,4,0,6,519,715,2331,0,55154.0,280.0,54780.0,,776937.0,563200.0,Lepa Rada,0,0,0,4,1,9,0,772.0,2.0,769.0,,12159.0,9204.0,0,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,876,3,873,16722,13355,10506,2021-11-13 17:45:28,1504000,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55216,280,54894,1180704,779021,571704
2021-11-13,AR,4,0,6,519,715,2331,0,55154.0,280.0,54780.0,,776937.0,563200.0,Lohit,0,0,0,38,67,104,0,2270.0,19.0,2290.0,,26224.0,19571.0,145538,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,2888,26,2861,48953,31517,23673,2021-11-13 17:45:28,1504000,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55216,280,54894,1180704,779021,571704
2021-11-13,AR,4,0,6,519,715,2331,0,55154.0,280.0,54780.0,,776937.0,563200.0,Longding,0,0,0,4,24,51,0,1360.0,9.0,1342.0,,22808.0,12663.0,60000,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,752,2,750,19839,19475,8731,2021-11-13 17:45:28,1504000,2021-11-13 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55216,280,54894,1180704,779021,571704
