Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Almora,6,0,0,,17,383,0,3.0,0.0,1.0,,144.0,2197.0,621927,,,,12213,196,11997,,379375,233414,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Bageshwar,0,0,1,,83,1199,0,0.0,0.0,0.0,,60.0,749.0,259840,,,,5764,60,5704,,183933,137334,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Chamoli,0,0,0,,19,558,0,0.0,0.0,1.0,,92.0,1462.0,391114,,,,12245,62,12183,,274684,204194,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Champawat,0,0,0,,19,190,0,0.0,0.0,0.0,,50.0,734.0,259315,,,,7605,53,7549,,183882,127977,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Dehradun,18,0,3,,445,5586,0,7.0,0.0,3.0,,981.0,10554.0,1698560,,,,112435,3521,108786,,1474723,893354,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Haridwar,2,0,2,,466,5419,0,1.0,0.0,1.0,,765.0,8327.0,1927029,,,,51514,1020,50486,,1464463,731431,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Nainital,2,0,1,,67,940,0,1.0,0.0,1.0,,354.0,3246.0,955128,,,,39244,945,38292,,726205,428185,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Pauri Garhwal,0,0,0,,0,0,0,0.0,0.0,0.0,,179.0,1994.0,686527,,,,17689,315,17372,,433029,247302,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Pithoragarh,0,0,1,,71,841,0,0.0,0.0,1.0,,146.0,1824.0,485993,,,,10263,182,10080,,319971,199625,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Rudraprayag,0,0,1,,18,249,0,0.0,0.0,0.0,,37.0,656.0,236857,,,,8801,106,8695,,171352,120531,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Tehri Garhwal,0,0,0,,23,301,0,0.0,0.0,0.0,,255.0,2352.0,616409,,,,15836,108,15728,,383758,227097,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Udham Singh Nagar,0,0,0,,198,4435,0,0.0,0.0,0.0,,595.0,9444.0,1648367,,,,37877,761,37114,,1283336,613470,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
2021-11-14,UT,29,0,10,10109,1429,20109,0,14.0,0.0,9.0,11156.0,3748.0,44658.0,Uttarkashi,1,0,1,,3,8,0,1.0,0.0,1.0,,91.0,1120.0,329686,,,,12557,74,12477,,235502,172410,2021-11-15T13:11:08.776475+05:30,11141000,,,,344043,7403,336463,7913010,7514213,4336324
