Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-11-15,HP,Bilaspur,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,14521,85,14338,,2021-11-15 18:25:59,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,225893,3804,220959,
2021-11-15,HP,Chamba,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,13708,160,13534,,2021-11-15 18:25:59,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,225893,3804,220959,
2021-11-15,HP,Hamirpur,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,17719,298,17198,,2021-11-15 18:25:59,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,225893,3804,220959,
2021-11-15,HP,Kangra,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,51478,1159,49916,,2021-11-15 18:25:59,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,225893,3804,220959,
2021-11-15,HP,Kinnaur,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,3519,39,3476,,2021-11-15 18:25:59,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,225893,3804,220959,
2021-11-15,HP,Kullu,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,9724,158,9545,,2021-11-15 18:25:59,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,225893,3804,220959,
2021-11-15,HP,Lahaul and Spiti,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,2958,18,2936,,2021-11-15 18:25:59,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,225893,3804,220959,
2021-11-15,HP,Mandi,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,31792,458,31245,,2021-11-15 18:25:59,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,225893,3804,220959,
2021-11-15,HP,Shimla,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,27675,646,26944,,2021-11-15 18:25:59,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,225893,3804,220959,
2021-11-15,HP,Sirmaur,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,15460,211,15246,,2021-11-15 18:25:59,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,225893,3804,220959,
2021-11-15,HP,Solan,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,22886,314,22510,,2021-11-15 18:25:59,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,225893,3804,220959,
2021-11-15,HP,Una,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,14453,258,14071,,2021-11-15 18:25:59,2021-11-15 19:00:00+05:30,https://twitter.com/nhm_hp,,225893,3804,220959,
