,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
0,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Ajmer,3,0,2,894,1122,7448,0,13.0,0.0,4.0,5642.0,8078.0,52478.0,2584913,,,,37783,410,37362,613014,1764966,1125767,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
1,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Alwar,0,0,0,1550,1731,5171,0,2.0,0.0,1.0,10170.0,10333.0,28868.0,3671999,,,,59696,307,59388,1218672,2255367,1076522,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
2,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Banswara,0,0,0,545,1921,3350,0,0.0,0.0,0.0,3632.0,15232.0,28827.0,1798194,,,,10005,104,9901,222659,1053179,581427,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
3,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Baran,0,0,0,269,1671,6178,0,0.0,0.0,1.0,3211.0,9378.0,35985.0,1223921,,,,11996,61,11935,154420,776804,349124,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
4,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Barmer,1,0,1,426,940,2717,0,5.0,0.0,1.0,2062.0,6471.0,20481.0,2604453,,,,15569,185,15379,326389,1471342,665597,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
5,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Bharatpur,0,0,0,282,1927,3930,0,0.0,0.0,0.0,1491.0,23710.0,49342.0,2549121,,,,19601,260,19341,380975,1378329,650158,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
6,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Bhilwara,0,0,0,575,1051,6312,0,0.0,0.0,0.0,5716.0,6292.0,35390.0,2410459,,,,29782,156,29625,384299,1533876,773318,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
7,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Bikaner,0,0,0,493,549,1972,0,0.0,0.0,8.0,3310.0,4307.0,18900.0,2367745,,,,40347,545,39802,588932,1467520,741086,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
8,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Bundi,0,0,0,249,1333,4693,0,0.0,0.0,0.0,1974.0,8565.0,26685.0,1113725,,,,7967,48,7919,171588,725908,407442,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
9,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Chittorgarh,0,0,0,352,1578,8795,0,0.0,0.0,0.0,2309.0,8477.0,48433.0,1544392,,,,19809,139,19670,353600,991474,570734,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
10,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Churu,0,0,0,537,1009,6894,0,0.0,0.0,0.0,3285.0,5767.0,33600.0,2041172,,,,16720,107,16613,312220,1311838,641338,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
11,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Dausa,0,0,0,353,1009,5422,0,0.0,0.0,0.0,2538.0,7484.0,36339.0,1637226,,,,13351,62,13289,205192,951844,448794,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
12,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Dholpur,0,0,0,206,645,2295,0,0.0,0.0,0.0,1681.0,3978.0,12768.0,1207293,,,,11010,48,10962,221696,666749,301119,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
13,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Dungarpur,0,0,0,400,1082,2902,0,0.0,0.0,0.0,4479.0,7482.0,19374.0,1388906,,,,18407,131,18276,243199,747156,376895,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
14,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Ganganagar,0,0,0,392,1451,5934,0,0.0,0.0,1.0,2680.0,9237.0,37857.0,1969520,,,,19355,150,19205,327774,1293200,585815,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
15,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Hanumangarh,0,0,0,511,1344,11710,0,0.0,0.0,0.0,4371.0,2868.0,24889.0,1779650,,,,16053,111,15942,366031,1235855,634989,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
16,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Jaipur,10,0,13,3615,4432,14153,0,44.0,0.0,20.0,19992.0,21974.0,73874.0,6663971,,,,187872,1970,185851,2501135,4618126,2303865,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
17,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Jaisalmer,0,0,0,237,285,1004,0,0.0,0.0,0.0,1357.0,1788.0,8069.0,672008,,,,13639,66,13573,203041,418344,205132,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
18,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Jalore,0,0,0,396,631,2569,0,0.0,0.0,0.0,2290.0,4653.0,16149.0,1830151,,,,10067,72,9995,370332,994539,418756,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
