Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-11-17,BR,Araria,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,14978,116,14862,,2021-11-17 17:15:39.604502,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Arwal,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,7381,74,7307,,2021-11-17 17:15:39.604517,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Aurangabad,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,20011,75,19936,,2021-11-17 17:15:39.604519,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Banka,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,7379,112,7267,,2021-11-17 17:15:39.604520,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Begusarai,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,27215,457,26758,,2021-11-17 17:15:39.604521,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Bhagalpur,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,25841,309,25532,,2021-11-17 17:15:39.604523,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Bhojpur,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,10210,159,10051,,2021-11-17 17:15:39.604524,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Buxar,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,9248,182,9066,,2021-11-17 17:15:39.604525,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Darbhanga,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,10940,370,10570,,2021-11-17 17:15:39.604530,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Gaya,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,33953,280,33673,,2021-11-17 17:15:39.604531,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Gopalganj,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,16687,94,16591,,2021-11-17 17:15:39.604532,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Jamui,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,9418,106,9312,,2021-11-17 17:15:39.604533,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Jehanabad,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,10784,109,10674,,2021-11-17 17:15:39.604534,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Kaimur,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,4984,147,4837,,2021-11-17 17:15:39.604536,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Katihar,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,18146,94,18051,,2021-11-17 17:15:39.604537,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Khagaria,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,10064,88,9976,,2021-11-17 17:15:39.604538,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Kishanganj,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,10132,66,10066,,2021-11-17 17:15:39.604540,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Lakhisarai,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,7776,102,7674,,2021-11-17 17:15:39.604541,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Madhepura,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,12547,111,12436,,2021-11-17 17:15:39.604542,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Madhubani,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,18365,339,18026,,2021-11-17 17:15:39.604543,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Munger,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,15112,158,14953,,2021-11-17 17:15:39.604545,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Muzaffarpur,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,31400,621,30777,,2021-11-17 17:15:39.604546,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Nalanda,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,23433,468,22965,,2021-11-17 17:15:39.604547,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Nawada,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,10353,178,10175,,2021-11-17 17:15:39.604549,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,West Champaran,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,20890,358,20532,,2021-11-17 17:15:39.604550,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Patna,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,147040,2335,144689,,2021-11-17 17:15:39.604551,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,East Champaran,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,19019,430,18589,,2021-11-17 17:15:39.604553,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Purnia,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,24428,180,24248,,2021-11-17 17:15:39.604554,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
2021-11-17,BR,Rohtas,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,13980,271,13708,,2021-11-17 17:15:39.604555,2021-11-17 17:15:00+05:30,https://twitter.com/BiharHealthDept,,726162,9662,716473,53687811
