,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
0,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Ahmedabad,28,0,4,8285,6143,38179,0,100.0,0.0,27.0,48383.0,35324.0,309141.0,7208200,2021-11-18 09:16:42.256844,,,238484,3411,234949,5395728,6018629,3913335,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
1,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Amreli,0,0,0,1211,1393,10152,0,1.0,0.0,1.0,6492.0,8704.0,63798.0,1513614,2021-11-18 09:16:42.256844,,,10811,102,10709,604519,942203,668708,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
2,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Anand,0,0,0,2794,1922,15519,0,1.0,0.0,3.0,11355.0,8713.0,127859.0,2090276,2021-11-18 09:16:42.256844,,,9641,49,9590,560220,1505223,1174851,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
3,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Aravalli,0,0,0,749,84,3353,0,0.0,0.0,0.0,4172.0,930.0,31109.0,1051746,2021-11-18 09:16:42.256844,,,5186,78,5108,368475,719687,583883,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
4,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Banaskantha,0,0,0,2727,1528,28989,0,1.0,0.0,0.0,15128.0,7770.0,237812.0,3116045,2021-11-18 09:16:42.256844,,,13632,162,13469,869333,2157024,1577118,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
5,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Bharuch,1,0,1,1330,1338,7438,0,1.0,0.0,1.0,7803.0,8146.0,49946.0,1550822,2021-11-18 09:16:42.256844,,,11428,118,11309,528834,1235488,762200,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
6,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Bhavnagar,0,0,0,3014,3097,15650,0,0.0,0.0,2.0,10342.0,19270.0,92948.0,2877961,2021-11-18 09:16:42.256844,,,21450,301,21147,1213070,1713332,1136822,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
7,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Botad,0,0,0,430,421,5063,0,0.0,0.0,0.0,2109.0,1978.0,28843.0,656005,2021-11-18 09:16:42.256844,,,2218,42,2176,257654,381196,272077,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
8,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Chhota Udaipur,0,0,0,1016,72,3990,0,0.0,0.0,0.0,6381.0,467.0,36205.0,1071831,2021-11-18 09:16:42.256844,,,3395,38,3357,279509,636540,495768,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
9,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Dahod,0,0,0,1647,259,18814,0,0.0,0.0,0.0,11694.0,1131.0,100026.0,2126558,2021-11-18 09:16:42.256844,,,9955,38,9917,726544,1500776,898717,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
10,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Dang,0,0,0,329,232,193,0,0.0,0.0,0.0,1015.0,1349.0,2690.0,226769,2021-11-18 09:16:42.256844,,,866,18,848,84699,160557,64824,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
11,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Devbhumi Dwarka,0,0,0,847,350,2721,0,0.0,0.0,0.0,5146.0,7384.0,30286.0,752484,2021-11-18 09:16:42.256844,,,4175,82,4093,247707,526446,364079,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
12,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Gandhinagar,0,0,0,1225,872,8372,0,0.0,0.0,4.0,8321.0,4800.0,45967.0,1387478,2021-11-18 09:16:42.256844,,,20759,205,20553,846207,1183289,779764,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
13,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Gir Somnath,0,0,0,1321,3102,4295,0,2.0,0.0,0.0,4461.0,6844.0,37428.0,1217477,2021-11-18 09:16:42.256844,,,8573,67,8501,386298,856113,416796,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
14,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Jamnagar,1,0,0,1652,3092,5664,0,4.0,0.0,2.0,8113.0,13575.0,47009.0,2159130,2021-11-18 09:16:42.256844,,,34987,478,34503,899770,1129447,728223,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
15,2021-11-17,GJ,54,0,16,74988,51164,373284,0,242.0,0.0,166.0,411680.0,272744.0,2592785.0,Junagadh,1,0,0,6860,639,24504,0,5.0,0.0,13.0,24504.0,4053.0,165298.0,2742291,2021-11-18 09:16:42.256844,,,20542,272,20267,847028,1323529,1000469,2021-11-18 09:16:42.256157,67936000,2021-11-18 09:16:42.257177,,,826906,10087,816528,31680063,45229972,30530403
