,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeRecoveredNumberForState,cumulativeDeceasedNumberForState,cumulativeTestedNumberForState
0,2021-11-17,KA,Bagalkote,,,,35180,333,34844,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
1,2021-11-17,KA,Ballari,,,,97785,1686,95984,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
2,2021-11-17,KA,Belagavi,,,,79947,942,78947,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
3,2021-11-17,KA,Bengaluru Rural,,,,62067,890,61121,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
4,2021-11-17,KA,Bengaluru Urban,,,,1254463,16316,1232036,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
5,2021-11-17,KA,Bidar,,,,24342,401,23937,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
6,2021-11-17,KA,Chamarajanagara,,,,33024,502,32490,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
7,2021-11-17,KA,Chikkaballapura,,,,43968,431,43529,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
8,2021-11-17,KA,Chikkamagaluru,,,,51171,396,50728,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
9,2021-11-17,KA,Chitradurga,,,,36695,208,36456,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
10,2021-11-17,KA,Dakshina Kannada,,,,115697,1685,113885,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
11,2021-11-17,KA,Davanagere,,,,50998,608,50376,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
12,2021-11-17,KA,Dharwad,,,,61014,1318,59674,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
13,2021-11-17,KA,Gadag,,,,26066,319,25747,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
14,2021-11-17,KA,Hassan,,,,111947,1257,110568,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
15,2021-11-17,KA,Haveri,,,,21947,643,21304,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
