,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,0,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Ariyalur,3,0,2,,2740,2178,22,19.0,1.0,17.0,,20503.0,29594.0,752481,,,,16909,262,16612,,505592,204762,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
1,1,1,1,1,1,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Chengalpattu,56,0,79,,863,2609,597,434.0,10.0,511.0,,19137.0,47740.0,2556244,,,,173132,2526,169872,,1364765,671029,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
2,2,2,2,2,2,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Chennai,124,1,104,,1790,6147,742,838.0,15.0,723.0,,36266.0,127910.0,7100000,,,,556883,8585,546993,,4969915,3032885,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
3,3,3,3,3,3,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Coimbatore,119,2,118,,940,6168,787,851.0,12.0,794.0,,17933.0,108282.0,3472578,,,,248893,2445,245269,,2744510,1357611,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
4,4,4,4,4,4,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Cuddalore,9,0,10,,7614,5431,116,72.0,1.0,98.0,,126214.0,126874.0,2600880,,,,64332,871,63325,,1712401,871327,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
5,5,5,5,5,5,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Dharmapuri,10,0,14,,514,2089,102,96.0,1.0,109.0,,11535.0,40111.0,1502900,,,,28701,278,28269,,787986,334812,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
6,6,6,6,6,6,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Dindigul,2,0,3,,7795,6429,36,36.0,1.0,35.0,,53939.0,102613.0,2161367,,,,33184,650,32480,,1299495,626770,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
7,7,7,7,7,7,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Erode,67,1,65,,1161,3582,477,477.0,2.0,466.0,,18089.0,83012.0,2259608,,,,105552,694,104066,,1396331,664651,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
8,8,8,8,8,8,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Kallakurichi,5,0,6,,2635,3722,81,56.0,0.0,82.0,,42523.0,71227.0,1370281,,,,31528,210,31227,,752132,403447,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
9,9,9,9,9,9,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Kancheepuram,15,0,29,,618,1771,207,126.0,1.0,168.0,,11819.0,22305.0,1166401,,,,75392,1262,73880,,685077,288847,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
10,10,10,10,10,10,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Kanyakumari,12,0,16,,1022,4145,131,95.0,4.0,132.0,,10576.0,49047.0,1863178,,,,62675,1054,61453,,1120855,534428,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
11,11,11,11,11,11,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Karur,15,0,18,,1480,2015,152,105.0,1.0,148.0,,8502.0,43390.0,1076588,,,,24433,361,23889,,636574,347326,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
12,12,12,12,12,12,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Krishnagiri,11,0,13,,486,2187,107,46.0,1.0,90.0,,16932.0,51412.0,1883731,,,,43758,351,43310,,1063989,479815,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
13,13,13,13,13,13,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Madurai,11,0,15,,2930,5471,81,80.0,1.0,84.0,,37091.0,73152.0,3991038,,,,75424,1179,74119,,1553545,687512,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
14,14,14,14,14,14,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Mayiladuthurai,3,0,3,,0,0,19,18.0,0.0,25.0,,0.0,0.0,901000,,,,23339,316,22994,,0,0,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
15,15,15,15,15,15,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Nagapattinam,10,0,5,,1173,3782,83,52.0,2.0,65.0,,14687.0,54786.0,1614069,,,,21239,354,20793,,834993,371715,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
16,16,16,16,16,16,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Namakkal,41,1,49,,758,2880,318,265.0,2.0,304.0,,13227.0,58405.0,1721179,,,,53007,505,52074,,1004948,473157,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
17,17,17,17,17,17,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Nilgiris,20,0,17,,107,2140,140,130.0,0.0,140.0,,1977.0,34743.0,735071,,,,33905,213,33505,,504987,404575,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
18,18,18,18,18,18,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Perambalur,0,0,1,,2404,2937,14,4.0,0.0,9.0,,12105.0,34157.0,564511,,,,12093,244,11832,,342120,177044,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
19,19,19,19,19,19,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Pudukkottai,4,0,7,,886,3770,53,41.0,0.0,50.0,,14365.0,62063.0,1918725,,,,30299,417,29813,,846952,410223,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
20,20,20,20,20,20,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Ramanathapuram,2,0,2,,11109,7517,16,14.0,0.0,12.0,,87818.0,60716.0,1337560,,,,20605,359,20222,,776491,378466,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
21,21,21,21,21,21,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Ranipet,2,0,4,,692,1485,61,21.0,0.0,43.0,,13948.0,27983.0,1210277,,,,43519,775,42709,,579582,219824,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
22,22,22,22,22,22,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Salem,42,1,59,,5412,7053,415,296.0,6.0,361.0,,63851.0,121956.0,3480008,,,,100828,1695,98626,,2000139,949992,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
23,23,23,23,23,23,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Sivaganga,5,0,8,,921,3073,83,45.0,0.0,72.0,,12503.0,54671.0,1341250,,,,20346,208,20060,,746201,374782,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
24,24,24,24,24,24,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Tenkasi,2,0,1,,2483,5621,26,4.0,0.0,17.0,,18820.0,66760.0,1407627,,,,27382,485,26882,,762992,322360,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
25,25,25,25,25,25,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Thanjavur,22,0,34,,7265,4488,264,166.0,1.0,247.0,,54964.0,62840.0,2402781,,,,75904,984,74622,,1306007,583761,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
26,26,26,26,26,26,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Theni,1,0,1,,656,2678,18,6.0,0.0,16.0,,12912.0,45471.0,1243684,,,,43596,521,43064,,677226,364865,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
27,27,27,27,27,27,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Thiruvallur,24,2,31,,920,5541,90254,176.0,3.0,226.0,,16105.0,53716.0,3725697,,,,119928,1846,117793,,1063467,448084,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
28,28,28,28,28,28,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Thiruvarur,11,0,19,,1136,2622,-77737,99.0,7.0,141.0,,21149.0,43668.0,1268094,,,,41776,457,41157,,658540,306776,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
29,29,29,29,29,29,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Thoothukkudi,5,0,7,,9124,2793,1423,37.0,0.0,67.0,,71318.0,37597.0,1738376,,,,56451,409,55971,,1073677,383643,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
30,30,30,30,30,30,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Tiruchirappalli,32,4,30,,7770,4371,36278,253.0,10.0,237.0,,83729.0,86881.0,2713858,,,,78202,1074,76754,,1565714,747597,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
31,31,31,31,31,31,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Tirunelveli,8,0,6,,2849,3944,-6853,57.0,0.0,67.0,,62410.0,38069.0,1665253,,,,49565,433,49013,,888557,332620,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
32,32,32,32,32,32,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Tirupathur,1,0,3,,376,1084,-20023,12.0,0.0,37.0,,14939.0,31472.0,1111812,,,,29365,626,28712,,562044,250343,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
33,33,33,33,33,33,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Tiruppur,56,0,69,,731,2763,470,365.0,2.0,461.0,,23756.0,84814.0,2471222,,,,96522,987,94971,,1705928,723046,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
34,34,34,34,34,34,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Tiruvannamalai,6,0,12,,15400,9893,-22415,49.0,1.0,93.0,,121900.0,111949.0,2468965,,,,55132,669,54393,,1431785,724935,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
35,35,35,35,35,35,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Vellore,11,1,11,,642,1434,117,53.0,5.0,127.0,,16721.0,46267.0,1614242,,,,50066,1138,48834,,788181,398830,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
36,36,36,36,36,36,2021-11-19,TN,772,13,884,102383,111760,146235,6775,5534.0,90.0,6381.0,714992.0,1262294.0,2329493.0,Viluppuram,5,0,9,,4069,4463,77,19.0,0.0,70.0,,59817.0,59739.0,2093003,,,,45970,356,45571,,1171602,524518,2021-11-20T00:36:53.804826+05:30,75695000,,,,2718750,36349,2673448,53156461,42983472,20982286,0,0,0,0,0
