,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
0,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Andaman and Nicobar Islands,1,0,0,0,3,349,0,6.0,0.0,9.0,0.0,536.0,12261.0,397000,0,0,0,7676,129,7541,0,295693,234634,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
1,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Andhra Pradesh,168,2,301,0,20272,99915,0,1292.0,14.0,2080.0,0.0,170313.0,688663.0,52221000,0,0,0,2070906,14425,2054056,0,33900152,23036838,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
2,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Arunachal Pradesh,1,0,7,0,502,846,0,31.0,0.0,27.0,0.0,5713.0,14029.0,1504000,0,0,0,55243,280,54915,0,784733,585725,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
3,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Assam,190,1,277,0,47824,143582,0,1490.0,23.0,1630.0,0.0,274116.0,946848.0,34293000,0,0,0,615053,6066,605933,0,20732286,10577368,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
4,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Bihar,4,0,4,0,158407,250548,0,33.0,2.0,18.0,0.0,1002955.0,1667813.0,119520000,0,0,0,726182,9663,716480,0,52168512,22106821,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
5,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Chandigarh,4,0,5,0,168,969,0,20.0,0.0,16.0,0.0,2933.0,16550.0,1179000,0,0,0,65398,820,64551,0,934217,596676,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
6,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Chhattisgarh,35,0,17,0,59509,60358,0,204.0,3.0,126.0,0.0,422253.0,502360.0,28724000,0,0,0,1006494,13591,992613,0,15617627,8538615,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
7,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,527,2591,0,0.0,0.0,0.0,0.0,3942.0,19594.0,959000,0,0,0,10682,4,10678,0,669379,416408,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
8,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Delhi,30,0,67,0,20884,32821,0,273.0,2.0,317.0,0.0,186471.0,295037.0,19814000,0,0,0,1440605,25095,1415185,0,13500818,8220125,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
9,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Goa,20,0,24,0,382,2157,0,169.0,5.0,195.0,0.0,3211.0,20461.0,1540000,0,0,0,178614,3377,174989,0,1274913,992120,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
10,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Gujarat,36,1,16,0,31852,228250,0,261.0,1.0,149.0,0.0,266224.0,2136803.0,67936000,0,0,0,827148,10091,816726,0,45330311,31266593,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
11,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Haryana,22,0,23,0,23487,32673,0,114.0,2.0,107.0,0.0,195757.0,402164.0,28672000,0,0,0,771517,10052,761330,0,18202575,9198630,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
12,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Himachal Pradesh,51,2,142,0,3335,49135,0,675.0,25.0,722.0,0.0,27639.0,425379.0,7300000,0,0,0,226264,3828,221385,0,5771830,4495791,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
13,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Jammu and Kashmir,193,0,105,0,1593,29096,0,1191.0,11.0,875.0,0.0,17081.0,330663.0,13203000,0,0,0,335016,4459,328888,0,9568298,6536855,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
14,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Jharkhand,22,0,27,0,58040,81918,0,134.0,1.0,152.0,0.0,408992.0,557139.0,37403000,0,0,0,349111,5139,343839,0,15937736,6858891,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
15,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Karnataka,242,4,329,0,74895,212476,0,1770.0,29.0,2519.0,0.0,427795.0,1396139.0,65798000,0,0,0,2993139,38169,2947683,0,43608308,26301269,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
16,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Kerala,5754,204,6489,0,10697,117584,0,41093.0,1540.0,47004.0,0.0,74862.0,807246.0,35125000,0,0,0,5089849,37051,4990817,0,25570911,16151639,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
17,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Ladakh,28,0,15,0,15,38,0,163.0,3.0,94.0,0.0,616.0,3566.0,293000,0,0,0,21298,212,20862,0,210564,163140,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
18,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Lakshadweep,0,0,0,0,1,89,0,5.0,0.0,0.0,0.0,125.0,853.0,68000,0,0,0,10370,51,10314,0,55337,48380,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
19,2021-11-19,TT,10302,267,11787,1187739,1665489,3172566,,73889.0,2104.0,83225.0,8241340.0,12013857.0,26230526.0,Madhya Pradesh,6,0,6,0,30821,343017,0,54.0,1.0,49.0,0.0,296975.0,3613206.0,82232000,0,0,0,792999,10525,782396,0,50556082,28761419,2021-11-20 05:13:59.602055,1332900000,2021-11-19 00:00:00,https://www.icmr.gov.in/,0,34499925,465349,33909708,630575279,763834772,394598839
