,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-11-19,UT,Almora,,,,12213,196,11997,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
1,2021-11-19,UT,Bageshwar,,,,5764,60,5704,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
2,2021-11-19,UT,Chamoli,,,,12245,62,12183,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
3,2021-11-19,UT,Champawat,,,,7605,53,7549,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
4,2021-11-19,UT,Dehradun,,,,112435,3521,108786,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
5,2021-11-19,UT,Haridwar,,,,51514,1020,50486,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
6,2021-11-19,UT,Nainital,,,,39244,945,38292,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
7,2021-11-19,UT,Pauri Garhwal,,,,17689,315,17372,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
8,2021-11-19,UT,Pithoragarh,,,,10263,182,10080,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
9,2021-11-19,UT,Rudraprayag,,,,8801,106,8695,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
10,2021-11-19,UT,Tehri Garhwal,,,,15836,108,15728,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
11,2021-11-19,UT,Udham Singh Nagar,,,,37877,761,37114,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
12,2021-11-19,UT,Uttarkashi,,,,12557,74,12477,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
13,2021-11-19,UT,Unknown,,,,41,1,33,,2021-11-20 05:05:24.084174,,,,344084,7404,336496,
