,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Agra,,,,,24111,23111,,,,,,100554.0,127718.0,4380793,,,,,,,,2396092,1050336,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
1,1,1,1,1,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Aligarh,,,,,37701,22487,,,,,,199970.0,144301.0,3673849,,,,,,,,1876572,779403,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
2,2,2,2,2,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Ambedkar Nagar,,,,,12341,10663,,,,,,69151.0,56565.0,2398709,,,,,,,,1249784,505103,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
3,3,3,3,3,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Amethi,,,,,4590,8881,,,,,,26058.0,49877.0,2549935,,,,,,,,1080895,520055,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
4,4,4,4,4,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Amroha,,,,,3618,6897,,,,,,15644.0,28298.0,1838771,,,,,,,,916749,346902,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
5,5,5,5,5,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Auraiya,,,,,6037,7114,,,,,,34043.0,41744.0,1372287,,,,,,,,671434,268367,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
6,6,6,6,6,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Ayodhya,,,,,7013,9132,,,,,,33065.0,53801.0,2468371,,,,,,,,1341791,552312,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
7,7,7,7,7,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Azamgarh,,,,,57466,19975,,,,,,242210.0,130668.0,4616509,,,,,,,,2516136,964660,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
8,8,8,8,8,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Baghpat,,,,,2705,6875,,,,,,12150.0,39506.0,1302156,,,,,,,,718615,432129,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
9,9,9,9,9,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Bahraich,,,,,4895,16289,,,,,,29236.0,94484.0,2384239,,,,,,,,1835748,934183,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
10,10,10,10,10,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Ballia,,,,,5438,18914,,,,,,23453.0,79946.0,3223642,,,,,,,,1486681,554822,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
11,11,11,11,11,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Balrampur,,,,,10048,6133,,,,,,66478.0,32694.0,2149066,,,,,,,,1169383,526127,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
