,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-11-26,AP,184,1,214,29731,123247,224213,1908,1292.0,7.0,1547.0,187333.0,464285.0,1287274.0,Anantapur,4,0,6,,16853,26042,53,35.0,0.0,39.0,,59283.0,132067.0,4083315,,,,157999,1093,156851,,2824132,1958003,2021-11-26 22:06:50.971451,52221000,2021-11-26 22:06:50.972204,,,2072198,14432,2055603,30316261,34363915,24321613,0,0,0,0,0
1,1,1,1,1,2021-11-26,AP,184,1,214,29731,123247,224213,1908,1292.0,7.0,1547.0,187333.0,464285.0,1287274.0,Chittoor,36,0,36,,6019,24681,321,190.0,0.0,292.0,,18786.0,185366.0,4170468,,,,247916,1953,245664,,2903350,2264224,2021-11-26 22:06:50.971451,52221000,2021-11-26 22:06:50.972204,,,2072198,14432,2055603,30316261,34363915,24321613,0,0,0,0,0
2,2,2,2,2,2021-11-26,AP,184,1,214,29731,123247,224213,1908,1292.0,7.0,1547.0,187333.0,464285.0,1287274.0,East Godavari,11,0,76,,7284,21315,325,121.0,0.0,237.0,,21053.0,134093.0,5151549,,,,294594,1290,292934,,3592644,2410184,2021-11-26 22:06:50.971451,52221000,2021-11-26 22:06:50.972204,,,2072198,14432,2055603,30316261,34363915,24321613,0,0,0,0,0
3,3,3,3,3,2021-11-26,AP,184,1,214,29731,123247,224213,1908,1292.0,7.0,1547.0,187333.0,464285.0,1287274.0,Guntur,18,0,13,,9772,21729,213,171.0,1.0,202.0,,35649.0,94949.0,4889230,,,,178778,1248,177325,,3591771,2195747,2021-11-26 22:06:50.971451,52221000,2021-11-26 22:06:50.972204,,,2072198,14432,2055603,30316261,34363915,24321613,0,0,0,0,0
4,4,4,4,4,2021-11-26,AP,184,1,214,29731,123247,224213,1908,1292.0,7.0,1547.0,187333.0,464285.0,1287274.0,Krishna,34,1,16,,7358,18910,221,219.0,6.0,222.0,,40577.0,133663.0,4529009,,,,120138,1454,118268,,3107929,2388775,2021-11-26 22:06:50.971451,52221000,2021-11-26 22:06:50.972204,,,2072198,14432,2055603,30316261,34363915,24321613,0,0,0,0,0
5,5,5,5,5,2021-11-26,AP,184,1,214,29731,123247,224213,1908,1292.0,7.0,1547.0,187333.0,464285.0,1287274.0,Kurnool,0,0,0,,21623,23614,14,16.0,0.0,13.0,,71369.0,110214.0,4046601,,,,124191,854,123321,,2818299,1645050,2021-11-26 22:06:50.971451,52221000,2021-11-26 22:06:50.972204,,,2072198,14432,2055603,30316261,34363915,24321613,0,0,0,0,0
6,6,6,6,6,2021-11-26,AP,184,1,214,29731,123247,224213,1908,1292.0,7.0,1547.0,187333.0,464285.0,1287274.0,Other Countries,0,0,0,,0,0,0,0.0,0.0,0.0,,0.0,0.0,0,,,,434,0,434,,0,0,2021-11-26 22:06:50.971451,52221000,2021-11-26 22:06:50.972204,,,2072198,14432,2055603,30316261,34363915,24321613,0,0,0,0,0
7,7,7,7,7,2021-11-26,AP,184,1,214,29731,123247,224213,1908,1292.0,7.0,1547.0,187333.0,464285.0,1287274.0,Other States,0,0,0,,0,0,0,0.0,0.0,0.0,,0.0,0.0,0,,,,2461,0,2461,,0,0,2021-11-26 22:06:50.971451,52221000,2021-11-26 22:06:50.972204,,,2072198,14432,2055603,30316261,34363915,24321613,0,0,0,0,0
8,8,8,8,8,2021-11-26,AP,184,1,214,29731,123247,224213,1908,1292.0,7.0,1547.0,187333.0,464285.0,1287274.0,Prakasam,4,0,8,,18514,17747,80,35.0,0.0,83.0,,75279.0,95933.0,3392764,,,,138682,1129,137480,,2523280,1797905,2021-11-26 22:06:50.971451,52221000,2021-11-26 22:06:50.972204,,,2072198,14432,2055603,30316261,34363915,24321613,0,0,0,0,0
9,9,9,9,9,2021-11-26,AP,184,1,214,29731,123247,224213,1908,1292.0,7.0,1547.0,187333.0,464285.0,1287274.0,S.P.S. Nellore,13,0,16,,6916,17817,116,103.0,0.0,119.0,,20652.0,77199.0,2966082,,,,146819,1053,145487,,2251495,1628058,2021-11-26 22:06:50.971451,52221000,2021-11-26 22:06:50.972204,,,2072198,14432,2055603,30316261,34363915,24321613,0,0,0,0,0
