,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-11-26,AR,2,0,3,271,898,2646,36,17.0,0.0,32.0,2211.0,6931.0,18585.0,Anjaw,0,0,0,0,31,57,0,0.0,0.0,0.0,1.0,100.0,318.0,21089,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,1068,3,1065,21003,11863,8732,2021-11-26 22:06:57,1504000,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55260,280,54947,1185682,791617,604203,0,0,0,0,0
1,1,1,1,1,2021-11-26,AR,2,0,3,271,898,2646,36,17.0,0.0,32.0,2211.0,6931.0,18585.0,Changlang,0,0,0,4,107,312,0,0.0,0.0,2.0,15.0,1097.0,2709.0,147951,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,3809,22,3787,79465,92654,65334,2021-11-26 22:06:57,1504000,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55260,280,54947,1185682,791617,604203,0,0,0,0,0
2,2,2,2,2,2021-11-26,AR,2,0,3,271,898,2646,36,17.0,0.0,32.0,2211.0,6931.0,18585.0,East Kameng,0,0,0,0,28,87,0,0.0,0.0,0.0,0.0,93.0,473.0,78413,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,1094,0,1094,52766,23298,17526,2021-11-26 22:06:57,1504000,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55260,280,54947,1185682,791617,604203,0,0,0,0,0
3,3,3,3,3,2021-11-26,AR,2,0,3,271,898,2646,36,17.0,0.0,32.0,2211.0,6931.0,18585.0,East Siang,0,0,1,9,28,138,4,0.0,0.0,5.0,122.0,363.0,931.0,99019,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,3221,17,3202,61550,55362,44643,2021-11-26 22:06:57,1504000,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55260,280,54947,1185682,791617,604203,0,0,0,0,0
4,4,4,4,4,2021-11-26,AR,2,0,3,271,898,2646,36,17.0,0.0,32.0,2211.0,6931.0,18585.0,Kamle,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,210.0,213.0,22256,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,512,0,512,6582,7313,4548,2021-11-26 22:06:57,1504000,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55260,280,54947,1185682,791617,604203,0,0,0,0,0
5,5,5,5,5,2021-11-26,AR,2,0,3,271,898,2646,36,17.0,0.0,32.0,2211.0,6931.0,18585.0,Kra Daadi,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73.0,294.0,0,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,270,0,270,6066,6443,4018,2021-11-26 22:06:57,1504000,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55260,280,54947,1185682,791617,604203,0,0,0,0,0
6,6,6,6,6,2021-11-26,AR,2,0,3,271,898,2646,36,17.0,0.0,32.0,2211.0,6931.0,18585.0,Kurung Kumey,0,0,0,0,39,21,0,0.0,0.0,0.0,3.0,161.0,166.0,89717,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,511,1,510,9174,9475,6338,2021-11-26 22:06:57,1504000,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55260,280,54947,1185682,791617,604203,0,0,0,0,0
7,7,7,7,7,2021-11-26,AR,2,0,3,271,898,2646,36,17.0,0.0,32.0,2211.0,6931.0,18585.0,Lepa Rada,0,0,0,2,8,28,0,0.0,0.0,0.0,15.0,57.0,217.0,0,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,876,3,873,16766,13446,10863,2021-11-26 22:06:57,1504000,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55260,280,54947,1185682,791617,604203,0,0,0,0,0
8,8,8,8,8,2021-11-26,AR,2,0,3,271,898,2646,36,17.0,0.0,32.0,2211.0,6931.0,18585.0,Lohit,0,0,0,23,21,95,1,0.0,0.0,0.0,81.0,391.0,860.0,145538,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,2888,26,2862,49177,32266,25327,2021-11-26 22:06:57,1504000,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55260,280,54947,1185682,791617,604203,0,0,0,0,0
9,9,9,9,9,2021-11-26,AR,2,0,3,271,898,2646,36,17.0,0.0,32.0,2211.0,6931.0,18585.0,Longding,0,0,0,4,22,19,0,0.0,0.0,0.0,32.0,245.0,450.0,60000,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,752,2,750,19883,19876,9854,2021-11-26 22:06:57,1504000,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55260,280,54947,1185682,791617,604203,0,0,0,0,0
10,10,10,10,10,2021-11-26,AR,2,0,3,271,898,2646,36,17.0,0.0,32.0,2211.0,6931.0,18585.0,Lower Dibang Valley,0,0,1,7,26,97,1,1.0,0.0,1.0,66.0,230.0,592.0,53986,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,2433,11,2421,47160,33255,24150,2021-11-26 22:06:57,1504000,2021-11-26 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55260,280,54947,1185682,791617,604203,0,0,0,0,0
