Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-11-26,OR,Angul,,,,43936,398,43527,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Balasore,,,,40972,297,40609,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Bargarh,,,,31148,335,30794,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Bhadrak,,,,26561,147,26385,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Balangir,,,,23439,126,23300,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Boudh,,,,12655,112,12526,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Cuttack,,,,95159,855,94148,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Deogarh,,,,6601,50,6545,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Dhenkanal,,,,19928,244,19676,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Gajapati,,,,9717,83,9617,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Ganjam,,,,33908,481,33398,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Jagatsinghpur,,,,28047,319,27697,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Jajpur,,,,43972,171,43722,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Jharsuguda,,,,23910,177,23716,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Kalahandi,,,,24333,210,24110,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Kandhamal,,,,11541,83,11457,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Kendrapara,,,,24985,252,24689,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Kendujhar,,,,21007,173,20825,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Khordha,,,,178592,1579,175929,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Koraput,,,,19165,79,19078,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Malkangiri,,,,11691,46,11635,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Mayurbhanj,,,,41065,287,40666,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Nabarangapur,,,,23556,84,23468,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Nayagarh,,,,23560,211,23324,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Nuapada,,,,22935,85,22848,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Puri,,,,45558,460,45049,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Rayagada,,,,20241,167,20061,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Sambalpur,,,,31954,240,31594,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Subarnapur,,,,13203,61,13134,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
2021-11-26,OR,Sundargarh,,,,62085,591,61350,,2021-11-26 11:56:02.112045,2021-11-26 11:56:02.112786,,,1048228,8403,1037387,23454598
