,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-11-27,RJ,Ajmer,,,,37820,410,37384,623406,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
1,2021-11-27,RJ,Alwar,,,,59711,307,59389,1238509,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
2,2021-11-27,RJ,Banswara,,,,10005,104,9901,228130,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
3,2021-11-27,RJ,Baran,,,,11997,61,11935,159126,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
4,2021-11-27,RJ,Barmer,,,,15571,185,15384,330355,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
5,2021-11-27,RJ,Bharatpur,,,,19601,260,19341,382699,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
6,2021-11-27,RJ,Bhilwara,,,,29782,156,29626,389762,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
7,2021-11-27,RJ,Bikaner,,,,40361,545,39802,594532,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
8,2021-11-27,RJ,Bundi,,,,7967,48,7919,174533,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
9,2021-11-27,RJ,Chittorgarh,,,,19809,139,19670,358304,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
10,2021-11-27,RJ,Churu,,,,16720,107,16613,316433,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
11,2021-11-27,RJ,Dausa,,,,13353,62,13289,208801,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
12,2021-11-27,RJ,Dholpur,,,,11010,48,10962,224079,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
13,2021-11-27,RJ,Dungarpur,,,,18407,131,18276,248200,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
14,2021-11-27,RJ,Ganganagar,,,,19355,150,19205,331047,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
15,2021-11-27,RJ,Hanumangarh,,,,16053,111,15942,374116,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
16,2021-11-27,RJ,Jaipur,,,,187973,1971,185901,2535383,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
17,2021-11-27,RJ,Jaisalmer,,,,13643,66,13573,205302,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
18,2021-11-27,RJ,Jalore,,,,10067,72,9995,374037,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
19,2021-11-27,RJ,Jhalawar,,,,13612,187,13425,281058,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
20,2021-11-27,RJ,Jhunjhunu,,,,14811,158,14653,371240,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
21,2021-11-27,RJ,Jodhpur,,,,112419,1103,111312,1155932,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
22,2021-11-27,RJ,Karauli,,,,7156,70,7086,169826,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
23,2021-11-27,RJ,Kota,,,,57054,449,56605,883030,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
24,2021-11-27,RJ,Nagaur,,,,17751,177,17565,490258,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
25,2021-11-27,RJ,Pali,,,,27326,287,27037,346621,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
26,2021-11-27,RJ,Pratapgarh,,,,7143,63,7080,206598,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
27,2021-11-27,RJ,Rajsamand,,,,17046,169,16875,229967,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
28,2021-11-27,RJ,Sawai Madhopur,,,,10618,61,10557,188923,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
29,2021-11-27,RJ,Sikar,,,,30618,335,30283,417217,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
30,2021-11-27,RJ,Sirohi,,,,13732,79,13653,256305,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
31,2021-11-27,RJ,Tonk,,,,9498,92,9406,245039,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
32,2021-11-27,RJ,Udaipur,,,,56415,753,55657,695552,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
33,2021-11-27,RJ,Other State,,,,337,39,298,6012,2021-11-29T09:55:06.081231+05:30,,,,954741,8955,945599,15240332
