,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Airport Quarantine,,,,,0,0,,,,,,0.0,0.0,0,,,,,,,,0,0,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
1,1,1,1,1,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Baksa,,,,,1979,2005,,,,,,15043.0,34542.0,953773,,,,,,,,576636,238698,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
2,2,2,2,2,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Barpeta,,,,,83,1199,,,,,,4709.0,49615.0,1693190,,,,,,,,1131830,681690,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
3,3,3,3,3,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Biswanath,,,,,580,594,,,,,,4026.0,10481.0,612491,,,,,,,,484377,281249,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
4,4,4,4,4,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Bongaigaon,,,,,196,1396,,,,,,2544.0,25031.0,732639,,,,,,,,509173,302992,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
5,5,5,5,5,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Cachar,,,,,606,1579,,,,,,12220.0,41455.0,1736319,,,,,,,,1147369,521708,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
6,6,6,6,6,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Charaideo,,,,,239,485,,,,,,3561.0,11629.0,0,,,,,,,,319952,166793,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
7,7,7,7,7,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Chirang,,,,,45,226,,,,,,2855.0,13700.0,481818,,,,,,,,300932,153290,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
8,8,8,8,8,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Darrang,,,,,443,1553,,,,,,9362.0,34187.0,908090,,,,,,,,634054,309765,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
9,9,9,9,9,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Dhemaji,,,,,728,2352,,,,,,6546.0,25403.0,688077,,,,,,,,446840,268155,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
10,10,10,10,10,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Dhubri,,,,,1253,3308,,,,,,22739.0,55306.0,1948632,,,,,,,,1002960,393951,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
11,11,11,11,11,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Dibrugarh,,,,,669,4533,,,,,,6401.0,46077.0,1327748,,,,,,,,937548,605849,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
12,12,12,12,12,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Dima Hasao,,,,,55,49,,,,,,1948.0,2380.0,213529,,,,,,,,125429,73439,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
13,13,13,13,13,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Goalpara,,,,,90,183,,,,,,5666.0,28057.0,1008959,,,,,,,,688414,319699,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
14,14,14,14,14,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Golaghat,,,,,335,915,,,,,,10443.0,34613.0,1058674,,,,,,,,743286,448979,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
15,15,15,15,15,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Hailakandi,,,,,263,1652,,,,,,6559.0,25929.0,659260,,,,,,,,435544,220058,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
16,16,16,16,16,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Hojai,,,,,794,2372,,,,,,8413.0,33059.0,931218,,,,,,,,624559,420160,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
17,17,17,17,17,2021-11-28,AS,133,1,161,0,14935,42575,1642,1186.0,20.0,1448.0,,232554.0,934790.0,Jorhat,,,,,787,2078,,,,,,9043.0,44702.0,1091295,,,,,,,,673802,466778,2021-11-29 10:23:15.287397,34293000,,,,616568,6092,607785,,21039317,11710636,0,0,0,0,0
