,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-11-28,DL,32,1,33,53515,11011,17098,306,200.0,2.0,219.0,372101.0,248030.0,407441.0,Central Delhi,,,,,420,543,,,,,,19467.0,32623.0,0,,,,,,,,1236029,746588,2021-11-29 10:23:15.287397,19814000,,,,1440866,25097,1415481,30825326,13794257,8705024,0,0,0,0,0
1,1,1,1,1,2021-11-28,DL,32,1,33,53515,11011,17098,306,200.0,2.0,219.0,372101.0,248030.0,407441.0,East Delhi,,,,,1476,2209,,,,,,18041.0,35555.0,0,,,,,,,,1055425,735498,2021-11-29 10:23:15.287397,19814000,,,,1440866,25097,1415481,30825326,13794257,8705024,0,0,0,0,0
2,2,2,2,2,2021-11-28,DL,32,1,33,53515,11011,17098,306,200.0,2.0,219.0,372101.0,248030.0,407441.0,New Delhi,,,,,219,300,,,,,,9783.0,24870.0,0,,,,,,,,929875,706408,2021-11-29 10:23:15.287397,19814000,,,,1440866,25097,1415481,30825326,13794257,8705024,0,0,0,0,0
3,3,3,3,3,2021-11-28,DL,32,1,33,53515,11011,17098,306,200.0,2.0,219.0,372101.0,248030.0,407441.0,North Delhi,,,,,815,2271,,,,,,18091.0,45518.0,0,,,,,,,,1299267,696221,2021-11-29 10:23:15.287397,19814000,,,,1440866,25097,1415481,30825326,13794257,8705024,0,0,0,0,0
4,4,4,4,4,2021-11-28,DL,32,1,33,53515,11011,17098,306,200.0,2.0,219.0,372101.0,248030.0,407441.0,North East Delhi,,,,,3694,3643,,,,,,38612.0,32830.0,0,,,,,,,,1015732,490737,2021-11-29 10:23:15.287397,19814000,,,,1440866,25097,1415481,30825326,13794257,8705024,0,0,0,0,0
5,5,5,5,5,2021-11-28,DL,32,1,33,53515,11011,17098,306,200.0,2.0,219.0,372101.0,248030.0,407441.0,North West Delhi,,,,,443,715,,,,,,25751.0,47223.0,0,,,,,,,,1674491,997740,2021-11-29 10:23:15.287397,19814000,,,,1440866,25097,1415481,30825326,13794257,8705024,0,0,0,0,0
6,6,6,6,6,2021-11-28,DL,32,1,33,53515,11011,17098,306,200.0,2.0,219.0,372101.0,248030.0,407441.0,Shahdara,,,,,234,384,,,,,,19682.0,25922.0,0,,,,,,,,948829,608555,2021-11-29 10:23:15.287397,19814000,,,,1440866,25097,1415481,30825326,13794257,8705024,0,0,0,0,0
7,7,7,7,7,2021-11-28,DL,32,1,33,53515,11011,17098,306,200.0,2.0,219.0,372101.0,248030.0,407441.0,South Delhi,,,,,1435,2213,,,,,,16822.0,27539.0,0,,,,,,,,1265298,823565,2021-11-29 10:23:15.287397,19814000,,,,1440866,25097,1415481,30825326,13794257,8705024,0,0,0,0,0
8,8,8,8,8,2021-11-28,DL,32,1,33,53515,11011,17098,306,200.0,2.0,219.0,372101.0,248030.0,407441.0,South East Delhi,,,,,1106,1478,,,,,,24165.0,35704.0,0,,,,,,,,1328513,888970,2021-11-29 10:23:15.287397,19814000,,,,1440866,25097,1415481,30825326,13794257,8705024,0,0,0,0,0
9,9,9,9,9,2021-11-28,DL,32,1,33,53515,11011,17098,306,200.0,2.0,219.0,372101.0,248030.0,407441.0,South West Delhi,,,,,1123,3098,,,,,,23858.0,55449.0,0,,,,,,,,1576769,1044995,2021-11-29 10:23:15.287397,19814000,,,,1440866,25097,1415481,30825326,13794257,8705024,0,0,0,0,0
10,10,10,10,10,2021-11-28,DL,32,1,33,53515,11011,17098,306,200.0,2.0,219.0,372101.0,248030.0,407441.0,Unknown,32.0,1.0,33.0,,0,0,306.0,200.0,2.0,219.0,,0.0,0.0,0,,,,1440866.0,25097.0,1415481.0,,0,0,2021-11-29 10:23:15.287397,19814000,,,,1440866,25097,1415481,30825326,13794257,8705024,0,0,0,0,0
11,11,11,11,11,2021-11-28,DL,32,1,33,53515,11011,17098,306,200.0,2.0,219.0,372101.0,248030.0,407441.0,West Delhi,,,,,46,244,,,,,,33758.0,44208.0,0,,,,,,,,1464029,965747,2021-11-29 10:23:15.287397,19814000,,,,1440866,25097,1415481,30825326,13794257,8705024,0,0,0,0,0
