Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-11-29,GJ,Ahmedabad,2021-11-29 23:55:37.413949,,,238594,3411,235092,5489776,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Amreli,2021-11-29 23:55:37.413949,,,10811,102,10709,615794,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Anand,2021-11-29 23:55:37.413949,,,9643,49,9592,581613,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Aravalli,2021-11-29 23:55:37.413949,,,5187,78,5108,376540,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Banaskantha,2021-11-29 23:55:37.413949,,,13632,162,13470,894459,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Bharuch,2021-11-29 23:55:37.413949,,,11436,118,11311,541985,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Bhavnagar,2021-11-29 23:55:37.413949,,,21455,301,21150,1235287,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Botad,2021-11-29 23:55:37.413949,,,2218,42,2176,263119,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Chhota Udaipur,2021-11-29 23:55:37.413949,,,3395,38,3357,288839,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Dahod,2021-11-29 23:55:37.413949,,,9955,38,9917,745114,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Dang,2021-11-29 23:55:37.413949,,,866,18,848,87337,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Devbhumi Dwarka,2021-11-29 23:55:37.413949,,,4175,82,4093,252910,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Gandhinagar,2021-11-29 23:55:37.413949,,,20766,205,20556,861299,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Gir Somnath,2021-11-29 23:55:37.413949,,,8577,67,8504,396659,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Jamnagar,2021-11-29 23:55:37.413949,,,35002,478,34511,915566,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Junagadh,2021-11-29 23:55:37.413949,,,20542,272,20270,886208,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Kutch,2021-11-29 23:55:37.413949,,,12661,145,12499,868067,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Kheda,2021-11-29 23:55:37.413949,,,10442,48,10393,665931,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Mahisagar,2021-11-29 23:55:37.413949,,,8194,72,8122,411740,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Mehsana,2021-11-29 23:55:37.413949,,,24424,177,24244,733608,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Morbi,2021-11-29 23:55:37.413949,,,6506,87,6418,399372,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Narmada,2021-11-29 23:55:37.413949,,,5957,15,5942,279989,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Navsari,2021-11-29 23:55:37.413949,,,7246,25,7210,470410,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Panchmahal,2021-11-29 23:55:37.413949,,,11772,70,11701,599347,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Patan,2021-11-29 23:55:37.413949,,,11624,129,11495,494801,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Porbandar,2021-11-29 23:55:37.413949,,,3488,19,3468,256102,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Rajkot,2021-11-29 23:55:37.413949,,,58018,725,57281,2133582,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Sabarkantha,2021-11-29 23:55:37.413949,,,9323,157,9164,516348,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Surat,2021-11-29 23:55:37.413949,,,143994,1956,142014,6699422,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Surendranagar,2021-11-29 23:55:37.413949,,,8124,136,7988,562239,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Tapi,2021-11-29 23:55:37.413949,,,4444,24,4419,265450,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Vadodara,2021-11-29 23:55:37.413949,,,78331,788,77495,2072373,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
2021-11-29,GJ,Valsad,2021-11-29 23:55:37.413949,,,6471,55,6405,555054,2021-11-29 23:55:37.413286,2021-11-29 23:55:37.414290,,,827273,10089,816922,32416340
